,000001.SZ,000002.SZ,000069.SZ,000157.SZ,000166.SZ,000338.SZ,000568.SZ,000625.SZ,000725.SZ,000768.SZ,000776.SZ,000858.SZ,000876.SZ,000963.SZ,002007.SZ,002027.SZ,002230.SZ,002241.SZ,002304.SZ,002460.SZ,002475.SZ,002555.SZ,002594.SZ,002714.SZ,002736.SZ,300033.SZ,300059.SZ,300122.SZ,600000.SH,600011.SH,600015.SH,600016.SH,600018.SH,600019.SH,600028.SH,600029.SH,600031.SH,600036.SH,600048.SH,600050.SH,600061.SH,600085.SH,600104.SH,600111.SH,600115.SH,600196.SH,600276.SH,600362.SH,600406.SH,600436.SH,600519.SH,600570.SH,600585.SH,600588.SH,600660.SH,600741.SH,600795.SH,600837.SH,600886.SH,600887.SH,600926.SH,601006.SH,601009.SH,601021.SH,601088.SH,601155.SH,601166.SH,601169.SH,601186.SH,601211.SH,601225.SH,601229.SH,601288.SH,601318.SH,601328.SH,601336.SH,601398.SH,601601.SH,601618.SH,601628.SH,601633.SH,601668.SH,601669.SH,601688.SH,601766.SH,601788.SH,601800.SH,601818.SH,601857.SH,601877.SH,601878.SH,601881.SH,601888.SH,601901.SH,601919.SH,601939.SH,601985.SH,601988.SH,601989.SH,601998.SH,603833.SH,603993.SH
000001.SZ,1.0,0.7419264949929971,0.2102379828721439,0.6615915963826066,0.8732377632877841,0.00671026456898538,0.8760321109330143,-0.4690102706369203,0.8990840184074614,0.9012695514303027,0.8839825042377186,0.8946715065759144,0.2521308934811928,0.5366399908066456,0.6834893805933141,0.7437728772268155,0.6599251937260976,0.7125133517641192,0.9237071984907126,0.825772148423577,0.6598713796594838,0.7186238401949416,0.7897825983350039,0.07656500238394617,0.8420833362119088,0.8685365713075465,0.8999284932435242,0.6257936119496024,0.9230937795683282,-0.2054950271705475,0.9265675014909607,0.8678970790736197,0.8540441538766275,0.8546862846564061,0.7133315804436666,0.8484634736405267,-0.21748486750481058,0.9462609001624815,0.8445718377714372,0.7837204058095462,0.8665955693592876,0.8550060426756997,-0.6002887953347179,0.8080803793443057,0.8290493763198566,0.6779252011669318,0.7991541258580775,0.7818301940480795,0.02559614165215501,0.24920356329586432,0.8248026164875436,0.611719169101358,0.8858113361207188,0.8048572401588356,-0.4060582862372064,-0.2620106626721972,0.521577958263184,0.8951135069457948,-0.6757839145275062,0.7376270858177091,0.9455141976582991,-0.5518271912802024,0.9334017113732814,0.7587400854633657,0.6724859525524639,0.8256210318888306,0.9629598442807481,0.8909709274808396,0.49859995338372093,0.8839402877043283,0.829344413349455,0.839198863023996,0.4414971941815853,0.9413176187059137,0.7918961520608064,0.8680312967684748,0.8731335211641706,0.842190966712708,0.5103386872083909,0.8554136588198246,0.7836871783428944,0.6519028746508823,0.1138485790461961,0.9082745432131204,0.08900691519149025,0.8809273911312158,0.5908917876314387,0.9397785872166078,0.8562595246587605,-0.1542730253233288,0.8141747786087006,0.8559192463594831,0.05692503958133715,0.7799978900927437,0.5773670288551604,0.9588187900164503,0.6783023900494146,0.27345405336520245,0.6099102162095548,0.9065215953533462,0.3854129204224577,0.7356823087135064
000002.SZ,0.7419264949929971,1.0,0.3458620172200788,0.4611526186006007,0.5411662883889918,0.09502123849569162,0.7861626249432065,-0.2621121044995713,0.6266069354212248,0.575148391950921,0.5653920886508337,0.6404711714735534,0.05957064908599643,0.07951904537154494,0.3245405557011937,0.8052571110655072,0.34809164089257666,0.3576323355026423,0.6480602904871527,0.642770380831546,0.24702946969673903,0.6610780848299057,0.7273843774339701,-0.0366079287204463,0.5883509040051313,0.6475606952076538,0.6845813443340436,0.21174851798890423,0.6773502621047105,0.09765431922900074,0.5965161476772363,0.5437720467204398,0.5329244093349806,0.6547467747860806,0.523870844406321,0.6599578712128445,0.13289182005402034,0.6732501831143866,0.9288064558327843,0.45820043515639514,0.5501389971192833,0.6374574744798722,-0.6272561090860024,0.5177870637852872,0.5128636717097322,0.2546196801025559,0.42155506269137377,0.5441966574876376,0.3500810563164151,0.5676851902386656,0.6358738953561106,0.33558533645160044,0.7452639164241989,0.4657182144785146,-0.4489406011240826,-0.1657042408514486,0.2862386937808367,0.7434684715525156,-0.41646265933545035,0.40105147064543845,0.6159871583885164,-0.3540106522900351,0.5694268084130893,0.37675405600499023,0.6634817777333858,0.8422905337326636,0.6879913903198389,0.6082922349347734,0.7526060901024864,0.6916822234762688,0.736300095961821,0.7738590200530853,0.13794454614780696,0.6295156765920688,0.3719696080587786,0.6001213355275082,0.624137102098311,0.585727244620546,0.7079747200930839,0.5984633182206659,0.477127233663984,0.7404286549003071,0.4782301095716666,0.6525732528441411,0.5282420724750453,0.5571278963458015,0.7289755533596303,0.6300853657766049,0.7222902724766809,0.16730798101091615,0.6219707623685613,0.5929794388970437,0.45949071098635175,0.39631145579521143,0.1276969092967701,0.7359451550071271,0.5289985961264109,-0.11133707522756425,0.40211141674204387,0.5532348595730638,0.6344259347017912,0.748927609862675
000069.SZ,0.2102379828721439,0.3458620172200788,1.0,0.04161793597276398,0.12318022356937829,0.27394802296143084,0.28500457877591345,0.40558417100209626,0.33579568700860984,0.07139418811617591,0.20912484200180412,0.2470915565772636,-0.10275810038807497,-0.01614311340831216,0.0361002069903257,0.21568518168953985,0.5242478782116666,0.07038302855619148,0.24417240815428295,-0.009792234480273778,0.14954763346415403,-0.01397332396699816,0.061139147165376974,-0.24724851071382128,0.08092580450903948,0.14894919201943835,0.17465890964042588,0.006686538824422182,0.1291622328102563,0.17990460280492082,0.20256999087488248,0.186639739792412,0.1418490598758535,0.12737597214798305,0.05843381722428976,0.11487794580570253,0.2523242180603882,0.1587163184673576,0.3217857430058774,0.25469303656372816,0.10832982039778383,0.26336039051754373,0.2854519362549552,0.04639625004637272,0.0767535275712028,0.0058633616904170405,0.05841645378075461,0.4087753740328693,0.10737210703240631,0.3381598311739404,0.4069684046555646,0.13531611968431992,0.32670632713150954,0.04208542199699159,0.2619503217699293,0.4228219690807311,0.3165856265539007,0.1526748745868285,0.09943737962090644,0.3290080090859093,0.15984588629004745,0.23914296246193137,0.1578966589067696,0.11141244462829263,0.08887942498555697,0.23282969628313321,0.1911437938685895,0.17392860002639435,0.2493986260364618,0.22010167175431486,0.11500943055111518,0.27681102963326504,0.5004611441840315,0.19306761762884897,0.3538426864922158,0.3699125817396725,0.431796509977761,0.20936688269726544,0.4426326947637648,0.1522392230267792,0.09682412856003558,0.25210814257713626,0.33572411030981714,0.2545392996728171,0.2001762443627525,0.13517311540045748,0.2917835758133599,0.28941440794758794,0.2492655579797269,0.59012056891194,0.1131474881340707,0.11794652719827624,0.38019798176714104,0.2587536340506364,0.11481477855505491,0.3328558400356108,0.3140462685555104,0.4164816652848833,0.42518960821119517,0.19859935052158992,0.37324665108310423,0.1529912576116047
000157.SZ,0.6615915963826066,0.4611526186006007,0.04161793597276398,1.0,0.6281616295048499,0.2597237205222233,0.6529580311569749,-0.2366034530969687,0.607323958629416,0.720489050100055,0.6955004084954055,0.747586459973136,0.39151686307266237,0.4977950633707506,0.5453393386666069,0.5965640201628059,0.4012272910946398,0.6419113546132341,0.6923611008635765,0.6606970784271697,0.44006838603096804,0.406228308493016,0.6473988537926764,0.20862798675384756,0.6789623518998399,0.6461985474373726,0.7433219148943432,0.5589011869334307,0.6502015644943785,0.1124636867396936,0.6577313423344882,0.571538352853229,0.6424564041142328,0.7237926752239936,0.5593286605087838,0.7577406088228483,-0.07875081627973195,0.5755871094738865,0.5715334834882174,0.6302788695722771,0.628415732748634,0.603203314065774,-0.5377862376787278,0.6548014800989732,0.7374638952116787,0.6608638544761386,0.5495854836519328,0.6215358568448247,-0.029045643506991282,0.29441691853494517,0.6954860343855102,0.45520387066257423,0.6900739013553215,0.6770316937150329,-0.18884203408890465,0.04616501214108127,0.3964126879782801,0.6674064386732397,-0.49913515192577146,0.5676519192785513,0.6920668758634595,-0.40810792860809286,0.6550897731403648,0.5787073640616743,0.5797219839027461,0.586226400176031,0.6657897159770588,0.6426303873423495,0.4061262598533979,0.6953313891323963,0.6914067391384534,0.5301974928189434,0.17112733493154,0.6534540296882726,0.4726157953518019,0.6155444381811553,0.5289500147099514,0.7101594658229154,0.5253142018068495,0.6627034262295977,0.6671706408363511,0.5695337847125287,0.2656187206156689,0.7296114388831931,0.15070824957980633,0.6496495163528824,0.5300924405557313,0.6528205797165557,0.6741020857408779,-0.12829357291050827,0.7292464836969811,0.6904394872108032,0.16080216109785678,0.5887873201646668,0.5505114051853309,0.6652377628603646,0.6067695701860751,0.15394682312439395,0.3378799596533133,0.6756716675785531,0.44378660810073917,0.6670218794700108
000166.SZ,0.8732377632877841,0.5411662883889918,0.12318022356937829,0.6281616295048499,1.0,-0.12732137840226734,0.7393305483970617,-0.4892844143118893,0.8706839543966685,0.8594957718663476,0.9169421789037008,0.8564787899217716,0.4082717362105195,0.6256825109267966,0.8195351522591928,0.6212940033537603,0.6729763966086327,0.8700773977826878,0.8843181468224982,0.8516418200348496,0.8147019981046307,0.6408379995265029,0.7619813778024686,0.2000116270870779,0.9152201889043465,0.8562770626818293,0.8939784937624262,0.7704414192385521,0.8768941742915609,-0.20139132431566673,0.9426983847133302,0.9276937926633688,0.9501981192610452,0.8768607244037474,0.7211063870419222,0.8281304215638939,-0.42861298121146124,0.8136694762100071,0.7028218728772453,0.8318252915712961,0.9001641960146739,0.7006551491849473,-0.5375748041803717,0.9292961435978594,0.8610617328659663,0.7401714324834954,0.7490430361711082,0.8007504413206906,-0.15589670973593583,0.06461194873274341,0.7814024722664031,0.780397575528219,0.8028044888869624,0.8897601621024037,-0.3578088637030606,-0.3442920193999531,0.6225778631480208,0.883307086166909,-0.7539033364892327,0.7669700322811229,0.891232790006478,-0.6432121235887837,0.9279591819138818,0.8802756959802199,0.5907227113277157,0.7751297691818247,0.8762880073735347,0.8380330908843964,0.23482070180391856,0.9054930996614567,0.7495209802429142,0.6657561968016531,0.4052843911478314,0.9460097438255984,0.8189157803866206,0.861134914950596,0.6978439599321558,0.8353017949543382,0.2996105146804261,0.8480146954878464,0.8640324965205352,0.38163210964733435,-0.0960078613930071,0.8728125235339151,-0.09354098821347989,0.9426018989856897,0.39650432162519084,0.8604281015932553,0.806825610892515,-0.24212565062547275,0.8358958488609085,0.9392951661980571,-0.05063847698549353,0.9072710658817168,0.7111191887116545,0.8588825331014064,0.6650275486651951,0.31979005337196753,0.6138470475849741,0.8869156617968965,0.2160092038421325,0.6389039389966457
000338.SZ,0.00671026456898538,0.09502123849569162,0.27394802296143084,0.2597237205222233,-0.12732137840226734,1.0,-0.006034864093628652,0.5700040796412263,-0.04332522072495171,0.017748371427243476,-0.012609399756958331,0.0696703340898387,-0.22946807997419252,-0.24402484277328018,-0.3801195955139029,0.260640474255142,-0.056122324772207154,-0.18391333259854248,-0.02177290336068984,-0.16423689254398763,-0.33308019165091457,-0.20757730316650858,-0.1192199986703123,-0.5296931031952891,-0.07809636514393857,-0.14893485942861512,0.10384472464906332,-0.3061762848677075,-0.010516593116659775,0.27452312123169376,-0.05196732841199451,-0.1605777380449758,-0.019872854606784063,-0.02740074727949075,-0.03640475856766684,-0.01974408309525344,0.7172835905153355,-0.11651167642432592,0.03200032730115054,-0.017064760768063448,-0.1139499916940377,-0.06929790046410032,0.2488507618172426,-0.16453698274656198,-0.0033633975616293257,-0.18438285014058464,-0.23273405350378484,0.014532968710256102,-0.0904749869618694,0.11170232056849716,0.12821492397664738,-0.3708295704169051,0.09521676945750435,-0.19027077780463572,0.4724492554775028,0.5462986852308043,-0.31766543568081473,-0.007319950741927206,0.31052144644567203,-0.05086516084939929,0.0014501535313063418,0.2743428982759301,-0.1088175990210349,-0.24560602903982898,0.2776539546775703,-0.11777603164232148,-0.03378409813349988,0.0737302411053093,0.371165034180778,0.04192449731047054,0.0091811428888147,0.2711101846290432,-0.2061553189745301,-0.05740662828197646,-0.16021690637762415,-0.013399511738896142,-0.0012018317073695384,0.08056436223571736,0.5662480841035061,0.22546290045962492,-0.1560674463073041,0.4269387406854783,0.6105258116947944,-0.030700042295708274,0.22457506589340706,-0.06799800825573643,0.4897466223469406,-0.016341620738085705,0.1236914950728395,0.2660440102295451,0.2202326664660914,-0.04212601098062615,0.22164115594043823,-0.1312350462076088,0.09581463852926135,0.039041196974140165,0.09816238185093801,-0.009498398383367615,-0.2031590110467935,-0.03720269882735731,0.39120653752727913,0.301213772068671
000568.SZ,0.8760321109330143,0.7861626249432065,0.28500457877591345,0.6529580311569749,0.7393305483970617,-0.006034864093628652,1.0,-0.3525241386365978,0.7877118228449594,0.7517754007133927,0.7644039477819516,0.8856376039552839,0.34641268400841274,0.4304824132520888,0.6277813091314138,0.7621796446014534,0.6076386273806772,0.6194039020903367,0.8606085266696581,0.8296680172730717,0.556335751228917,0.634865475407541,0.8564006805829663,0.23724379109846808,0.7308756373837381,0.7827625463653055,0.8016578571205852,0.5716162048948373,0.8004155467755281,0.02740077335385076,0.7849410273463747,0.7003005134449984,0.6910225907767572,0.7694609055823168,0.6199564169960128,0.851195208565493,-0.1349443203172697,0.8240420397096884,0.8440509069010331,0.6869860613186901,0.7150324592162348,0.8192423802064722,-0.6005101906953719,0.6929388030235558,0.7597304807731026,0.6151222164756649,0.6737128792981313,0.7308421378053804,0.2666315527914824,0.577778664547802,0.8691903963402247,0.5358138827240041,0.8004321364718713,0.749879866122714,-0.39228122905981855,-0.12444211653311547,0.5383941200126096,0.7960587575226326,-0.5377511975791802,0.6711323485759717,0.7827378490153233,-0.39752205280018776,0.7939662348177956,0.6273522514445525,0.6557253121231451,0.8462141655652214,0.8432660617885035,0.7513542070529043,0.5018638968315686,0.8080477267292228,0.797560565657073,0.7538115959933052,0.3949232194031969,0.7986913237811016,0.605335759247582,0.7987828455593279,0.8050557992861568,0.758024380857091,0.559237030837436,0.6995277387594151,0.7238316477357379,0.6388088510152443,0.23663502370588138,0.8905243742091725,0.23892369350427237,0.7325688986728315,0.5638263730197947,0.8198133878463971,0.8054500902282479,0.07402400867232789,0.6926011014708195,0.7330576314537719,0.3542277459095664,0.6698029481595706,0.41248614730848915,0.8730617966891608,0.601163747297825,0.15580942565919875,0.5939314145048098,0.7206562958761485,0.5236239688306851,0.7674423781362911
000625.SZ,-0.4690102706369203,-0.2621121044995713,0.40558417100209626,-0.2366034530969687,-0.4892844143118893,0.5700040796412263,-0.3525241386365978,1.0,-0.4140657504089201,-0.5024782506690778,-0.4250432426835418,-0.36180484309145644,-0.1340626829850511,-0.41631705149187037,-0.49223365435582744,-0.19278978151176016,-0.07748733143290804,-0.39749376981888457,-0.4292949466669,-0.5964501577164956,-0.3586005889767209,-0.6047756432039041,-0.4729328923636233,-0.24297372384118568,-0.49282415395652873,-0.4901326001580634,-0.35962684089340075,-0.433875474080933,-0.5126914487074526,0.41593925969498574,-0.4573979545990834,-0.46130801300764723,-0.41725736341755165,-0.5084828434664217,-0.37739560980730597,-0.454816493467183,0.6585098171322981,-0.5170220390674028,-0.37235392794130623,-0.28383213230235255,-0.5502446742119533,-0.32210191556912865,0.682152720238832,-0.5023781590574757,-0.44799618734847807,-0.4642576059856474,-0.5422452399641746,-0.29126058957843387,0.019370551619781934,0.20265102686186212,-0.23051053462800375,-0.4097349749712585,-0.3095927948935215,-0.45539723658234377,0.762244627035764,0.5529304974175396,-0.3564405483934008,-0.48544379066309457,0.5756997287519519,-0.23723876990267748,-0.46044936555592564,0.612557208053703,-0.49163472747665526,-0.42230243359174713,-0.28294851734686105,-0.4548425182974,-0.5069314130349053,-0.4574134478603406,-0.0002321759412215,-0.3950383371511748,-0.4548791825095142,-0.3060483150389717,-0.017572963503443603,-0.4388430661849258,-0.37635901146234824,-0.3151675276130337,-0.2850176387032441,-0.363854842961284,0.15805512657341875,-0.37254464402476434,-0.48267469386812795,-0.08134682177741372,0.36986600494638405,-0.46495534574074954,0.20366086659681362,-0.5017557976169381,0.02809181562140665,-0.44405285826750074,-0.30977358294711504,0.6065031787443126,-0.3421883091844702,-0.48145400691245593,0.3073212277613815,-0.43572570418312107,-0.2254105971311374,-0.3552380368342895,-0.10936811494929627,0.14865327696999686,-0.17066005319652996,-0.4283314712437511,0.31050685300861863,-0.21035077141154332
000725.SZ,0.8990840184074614,0.6266069354212248,0.33579568700860984,0.607323958629416,0.8706839543966685,-0.04332522072495171,0.7877118228449594,-0.4140657504089201,1.0,0.8633556999557374,0.9099306680263722,0.8599560101404832,0.30405040341560347,0.6189733122720129,0.7086436710290452,0.6463611733327355,0.7484417718215344,0.8168507575088547,0.878885350203925,0.780622795580845,0.7446825708272842,0.6824046880995619,0.7174656535002834,0.05542459170311687,0.8488287517887998,0.877906754160307,0.8717207970395487,0.719677264959778,0.8451959800379553,-0.2925786623182018,0.9058597774580665,0.8482391670560757,0.8578924819689422,0.8115446911064526,0.6530599755948066,0.8245365457196105,-0.348916956856032,0.8398807697473997,0.788646511149944,0.8557957281925709,0.8697476508213451,0.7268976999274228,-0.4483082635124463,0.8084548126225953,0.8573389473804022,0.7099500596824296,0.8002573361571144,0.8886291144879578,-0.10666438670256519,0.15349474292424103,0.7835805506115809,0.6795173322564872,0.8722508867017699,0.8286659453574163,-0.2563008939177918,-0.20837377594185544,0.5340075781522108,0.8570226250344007,-0.7010049666468241,0.8034710027977221,0.8704125062442384,-0.548324791564616,0.9040371784585463,0.7930752271518012,0.5655040070220202,0.7731538582399687,0.8894697454976489,0.8394436333290333,0.30535876037878457,0.8544786120112265,0.7219008053678686,0.7028909868218625,0.5793065572797634,0.8820656634770961,0.8314189636475637,0.9213873338593072,0.8592182638029479,0.8367968459416218,0.3898749423377755,0.8316485353408071,0.8227303211430596,0.43183103028508213,-0.02201191156504625,0.903283063054252,-0.07864080569114056,0.883906692767051,0.41523736733514455,0.8848348244493215,0.8012783369851721,-0.1207749896424611,0.7843057829278147,0.8512111962397011,-0.025585849688491074,0.8597388358192967,0.7063596943781026,0.8712977774042217,0.7026957481105987,0.44442436364577587,0.6929417788414315,0.8857292899509535,0.2662327608656521,0.6098147248284728
000768.SZ,0.9012695514303027,0.575148391950921,0.07139418811617591,0.720489050100055,0.8594957718663476,0.017748371427243476,0.7517754007133927,-0.5024782506690778,0.8633556999557374,1.0,0.9287376401440678,0.8946349159169604,0.2940007467667377,0.6928261294033554,0.7215830816549292,0.6529034485740264,0.6274035617069956,0.8047448147525134,0.8846250927843561,0.8516807608574166,0.6616136278671351,0.6674752714667633,0.7823434093374552,0.06637687842687778,0.8627979697844479,0.817873679573741,0.8789892841089945,0.7472945162587603,0.8799762604496429,-0.2870962979844464,0.8938213464726158,0.8221238781205543,0.8590068643899249,0.8466248287582863,0.7026183964470022,0.8786298063708311,-0.3687168862388354,0.8241094938870689,0.7695322445098394,0.8208928807314034,0.8539749099761935,0.7212174926866471,-0.595837998293639,0.8494489753199045,0.9056550404995409,0.7910802149222578,0.7999151538871403,0.8068839769502117,-0.1275357709966066,0.10870056208073343,0.7701110842057654,0.5983374280657102,0.8598101545138453,0.8451324597273159,-0.34304609498823596,-0.32106914938286263,0.4452846385450256,0.8517021168208387,-0.7930729181829216,0.754772176257449,0.938662166908697,-0.6398820476402989,0.9245619794462673,0.7785198130779318,0.6444272803763795,0.7776077113115362,0.8976941862913456,0.8626076292086187,0.3243443905566655,0.8474442897870378,0.7888441016825715,0.7268852479534752,0.35757849625248306,0.8895936472532294,0.7279958779585779,0.8585421614348374,0.7661423731474982,0.9241059707986333,0.407019718364014,0.8586152806947172,0.8651451647141407,0.5216018185610561,0.004613514204206244,0.879748598365174,-0.061414499037568814,0.8833838746235831,0.48523326585288745,0.8784060174870655,0.8217063245373527,-0.2592988020487972,0.8859698501045387,0.9013479977407255,-0.06482302990232479,0.8215109729218416,0.7024309426557513,0.8844945222240727,0.64322919677912,0.2918264299242677,0.5520589891402824,0.9165707138198546,0.2735933735740901,0.7160288347299217
