,000001.SZ,000002.SZ,000069.SZ,000157.SZ,000166.SZ,000338.SZ,000568.SZ,000625.SZ,000725.SZ,000768.SZ,000776.SZ,000858.SZ,000876.SZ,000963.SZ,002007.SZ,002027.SZ,002230.SZ,002241.SZ,002304.SZ,002460.SZ,002475.SZ,002555.SZ,002594.SZ,002714.SZ,002736.SZ,300033.SZ,300059.SZ,300122.SZ,600000.SH,600011.SH,600015.SH,600016.SH,600018.SH,600019.SH,600028.SH,600029.SH,600031.SH,600036.SH,600048.SH,600050.SH,600061.SH,600085.SH,600104.SH,600111.SH,600115.SH,600196.SH,600276.SH,600362.SH,600406.SH,600436.SH,600519.SH,600570.SH,600585.SH,600588.SH,600660.SH,600741.SH,600795.SH,600837.SH,600886.SH,600887.SH,600926.SH,601006.SH,601009.SH,601021.SH,601088.SH,601155.SH,601166.SH,601169.SH,601186.SH,601211.SH,601225.SH,601229.SH,601288.SH,601318.SH,601328.SH,601336.SH,601398.SH,601601.SH,601618.SH,601628.SH,601633.SH,601668.SH,601669.SH,601688.SH,601766.SH,601788.SH,601800.SH,601818.SH,601857.SH,601877.SH,601878.SH,601881.SH,601888.SH,601901.SH,601919.SH,601939.SH,601985.SH,601988.SH,601989.SH,601998.SH,603833.SH,603993.SH
000001.SZ,1.0,0.8496789549178523,0.9205662585745324,0.7508424227182066,0.8518602857848375,0.8545313255203677,0.6506956056254442,0.840785933079662,0.6095820126631508,0.7461982366468224,0.8932745435381477,0.7425619217031855,0.8990542636638033,0.24511986600855162,0.49743694671789446,0.44266817075374193,0.437713424852001,0.36937561996417484,0.3082818178483939,-0.43559509619317466,-0.4893761302174702,0.32855761822829266,0.36266058185934497,0.613190440859224,0.6722448968103544,0.818075830929535,0.8420190733423772,0.4752690028121615,0.8779015308199787,0.5244478495489532,0.9166177895404605,0.9595863808999558,0.6547857397355076,0.2936740850685832,0.9356000701660047,0.251700952858435,0.9175412530397439,0.9343102622189807,0.9197782020235032,0.8231875273907568,0.7792221725845788,0.7475171416713837,0.7389311378006985,0.6253275086138294,0.8486356970956802,0.5913419212133649,0.5735054460766486,0.8385842082418193,0.701342941050791,0.29975286516683297,0.5990637637296509,0.6657980042343015,0.7554407443015108,-0.6480499473587956,0.5766163195874994,0.5894463432644163,0.7489749822218603,0.8676052936823774,0.8498261268789274,0.6302030747731033,0.9010675635540198,0.8737508291076374,0.8433443035376884,0.8015041912111708,0.7179674573150155,0.8346518420228768,0.8832611678770884,0.9002726075092932,0.9301532551013816,0.8825385888679821,0.8815845985056274,0.801314820605811,0.8915746192855519,0.938268715585346,0.8129431026063458,0.9029972029085617,0.936673100470374,0.3920505345064291,0.8561911500645146,0.9172128190151371,0.1847945319195786,0.9374058050476686,0.6807790024591625,0.8306084886046065,0.8579250321698093,0.8265754006283267,0.8351783829869972,0.9132402093938076,0.9396802309820992,0.6360772994379221,0.747180502308869,0.7872917865224935,0.03847792136893509,0.813474157028307,0.8246285880030991,0.9589956829041769,0.8820343551302781,0.936535213391596,0.8187198873165213,0.7518462194007579,-0.10609877119249105,0.33325686303858315
000002.SZ,0.8496789549178523,1.0,0.8890335214570824,0.8435160307892646,0.8769565672345531,0.8458485348571544,0.8187927040323121,0.8019992062927325,0.7566435420157337,0.7974171893064944,0.8928016355053833,0.8477915841651965,0.8041336506274689,0.33831523324758206,0.6574881012232473,0.5411544468535204,0.662312563645517,0.5878254880086078,0.5005071863755352,-0.2880594993856729,-0.43328110743630943,0.46140778028081003,0.5487283300192743,0.7733815638994885,0.8341661624841441,0.8678877659280447,0.84079130514833,0.7029203344516922,0.7451198225992876,0.7100600771061626,0.7391979399354515,0.8381439168684995,0.5137090583692562,-0.013847037299590312,0.7799029991642673,-0.008353133578912902,0.9075082650395444,0.7498568352900373,0.7787242061031217,0.8380713480918393,0.7933567668496178,0.8233808407030883,0.6991487650977972,0.7820719495762348,0.637504070376273,0.7429631838269876,0.6785674471528148,0.6156079395095473,0.8429860836755777,0.4898686155578115,0.718322932853701,0.8111284477399039,0.5706143305202404,-0.5993495023359102,0.7223606611490747,0.6899028094090034,0.8403238950615378,0.8258013518944568,0.815965964006318,0.6992639904759068,0.7683667771793674,0.8422010269283806,0.6688740537584752,0.7142932107587042,0.4498113443514915,0.8737163930536429,0.664831010041297,0.7684150974843651,0.7967178201063722,0.817921398667372,0.7409788294361618,0.6286164478046795,0.6645742597349674,0.840260373320593,0.6074166294370467,0.6955861830087026,0.7668775136289936,0.1208828360064797,0.7627138849817995,0.728559124291051,0.24462095409157406,0.85092713574615,0.7656351196768275,0.8817363297226827,0.8631496710861498,0.757510839294956,0.6591429152963727,0.7276789313335338,0.8731276393089797,0.6490404398100427,0.8508304523369065,0.8777649747639228,0.04421834565609271,0.8302467661564584,0.8359000431346414,0.8361235577123999,0.820689645313561,0.7523997825479772,0.8120382682092817,0.43418711545427535,0.08580079388687929,0.4275755556947292
000069.SZ,0.9205662585745324,0.8890335214570824,1.0,0.8505317026930183,0.9010898178947112,0.8171577548376904,0.7206962918710564,0.8591523681077186,0.7249988208379685,0.791844744734719,0.926040795149799,0.7604617460542492,0.9011615388518791,0.1708451733682581,0.6026342148889523,0.4448847877694991,0.5575567674766654,0.4236629259237525,0.30011377282070184,-0.48330895669795493,-0.5654834501260821,0.4771227782910203,0.4317444197270541,0.766300973210604,0.7895654828315776,0.9005797273264248,0.9018114427589597,0.5275006519604806,0.8316985563082074,0.6478280436491343,0.8091283688859529,0.8909847774741899,0.5066775775817511,0.09219160499100469,0.8923940015216488,0.06450405774557981,0.8967643989189072,0.8268859971755571,0.8666410115518439,0.8760244987980691,0.8486174290640739,0.8121176232449945,0.6990662808146997,0.7210017214248775,0.7724983180655225,0.5952072024882633,0.5716223110905155,0.73384662875414,0.7753605900208798,0.36310845553586213,0.5914249679371166,0.7614599751583225,0.6320325154322303,-0.7320182301875359,0.5632468826983892,0.5629779825205313,0.8447180839930399,0.9089103571538186,0.8694270835960644,0.5393982535862416,0.835496401636039,0.861224571877497,0.7617020565458222,0.7836020898802358,0.5644572907267733,0.8787840465569409,0.7665817226100909,0.784378330920824,0.8984446896323274,0.8932020716611064,0.8151242207877535,0.6764522093177966,0.7737246184275742,0.8669949876273373,0.6993660799807245,0.8143462199648431,0.8481250972812039,0.1417167221727674,0.8725982842860124,0.8686523128803983,0.1634172314810317,0.93179428042277,0.7300988779647898,0.8786202360171598,0.8808618396143104,0.8464554916516994,0.7478647236212156,0.8099514525629793,0.9405935305912346,0.6245887412398338,0.8683230542648536,0.85557331326774,-0.08562209625089201,0.8798163615123874,0.8971353511885319,0.9190008280596169,0.9135824245311485,0.8290687087068442,0.8693020505633781,0.5634172201951921,-0.1498975387872642,0.2706577615658981
000157.SZ,0.7508424227182066,0.8435160307892646,0.8505317026930183,1.0,0.8953889344548691,0.7932459064276142,0.8371611506231074,0.8321686155240567,0.9100887016133447,0.7751648566132042,0.905494304033234,0.7805056031216308,0.8324233546685719,0.31306718413761936,0.7821411494221014,0.593558526152095,0.74977562214906,0.6372033432600537,0.453629116512621,-0.28044067901325653,-0.40277740492194125,0.5771916652631185,0.6818186727124411,0.7798093570665497,0.9169579705437686,0.9114505901612596,0.9036990610247856,0.766367581282119,0.7401277120877378,0.7937257638155115,0.6199858065651546,0.7441980317058715,0.4350040226548928,-0.16590326321812063,0.7091994470366166,-0.04611017390431741,0.8619857060027192,0.5550712437767171,0.5916422394960076,0.9309837357577222,0.850784186993475,0.920505736686618,0.7160753446341692,0.8661390029873953,0.6488655903268683,0.7601254245445062,0.7145105678552598,0.4860027696313838,0.8421629857728928,0.6346936832101374,0.6771482857473559,0.8682567565348854,0.4435242590992187,-0.5806153301919553,0.7857719755950902,0.723312581803341,0.9157409460897337,0.8754636618088579,0.859593415733677,0.5802009441723112,0.7564466395331265,0.8163220768151018,0.5465559065688357,0.7307231990376627,0.23697731769749056,0.7367784825645091,0.5574639057531873,0.6460931604522063,0.7569396706791695,0.8262970680608305,0.6024245825084545,0.5245695857913372,0.5803689525564619,0.7511759381602054,0.5273480279166131,0.6618173997779873,0.5923015639863468,0.046169465391898874,0.7968824576610034,0.6504228735093855,0.30465402104196887,0.813503626149031,0.8695229405785172,0.8926526299339422,0.8774186358642514,0.804614141544894,0.6354482684830232,0.6246426110703217,0.8105963206666646,0.5711160280554575,0.9284838949170376,0.8766892071851865,-0.1134078057273397,0.9381139879076924,0.8913215719844544,0.7607317214754535,0.8343008853954332,0.6281170626233538,0.8787285815734623,0.2966558137537658,-0.03129887097831864,0.39072336834953497
000166.SZ,0.8518602857848375,0.8769565672345531,0.9010898178947112,0.8953889344548691,1.0,0.8127395081787901,0.6976170807115488,0.9289415433063343,0.7346572042059406,0.7578112193340427,0.9664174751202398,0.6704472650838182,0.9273819054567854,0.12219733965786096,0.6470331571387894,0.4201921914195,0.5943261245091722,0.4914503473684393,0.2808299509926321,-0.5270976200189849,-0.5956714604104739,0.5351970522815562,0.4345549633885403,0.6975440039520658,0.8992604201905756,0.923085196481499,0.9490993545061323,0.5956677201577345,0.8866552780940665,0.7478950972339101,0.7822846210957374,0.8493426464974639,0.500291680334361,-0.01889805711724864,0.8565136421665378,-0.02028734974997855,0.9263057964407628,0.706882372162947,0.7529788199894738,0.9277875183011456,0.9551922908629042,0.854800180684165,0.6475851212121879,0.7801894257582019,0.7422556116217912,0.5852377037531321,0.5438982142400329,0.6745003209814885,0.8379641992510733,0.3553598719888445,0.5038873771293224,0.7858740490991504,0.5280087855110809,-0.7586105283384978,0.5880392195751382,0.5850561556683689,0.9455276825107184,0.9453044522599577,0.9027149115275545,0.48338656696229926,0.861135088903264,0.9006873857786809,0.6600608344516637,0.6896487065058129,0.43959332260398254,0.81902896882075,0.7348427198318079,0.7465174533782969,0.8833675550052634,0.9332987714254054,0.7424873650124394,0.629496811227159,0.7183668917449749,0.8007049812751119,0.7161998951654599,0.7870424384693276,0.7263626894490965,0.11254710851020423,0.914308704320692,0.8073130909878148,0.25392118203473124,0.9145363310702891,0.8266331955019287,0.9516578668434774,0.9404726620834049,0.8825212589327119,0.7597065577291957,0.8037600609301995,0.9126120474350596,0.6111715615360825,0.9156408104475643,0.9484754205797558,-0.24039294133715713,0.9605552276641839,0.9298629639657175,0.8396885390595266,0.9127333381102701,0.7871593652372485,0.930948288164548,0.5036230870072058,-0.24846919382989882,0.26540259749254924
000338.SZ,0.8545313255203677,0.8458485348571544,0.8171577548376904,0.7932459064276142,0.8127395081787901,1.0,0.7364799305742435,0.7831550751749242,0.7183555908284189,0.7680838457127487,0.8450547074350343,0.7683066610796505,0.806294473346662,0.4823365835636042,0.6923470951067823,0.6576606304920203,0.6528742397499001,0.5997363598023318,0.3927819436802542,-0.1350920733638792,-0.23918084231783862,0.29937357140052856,0.6305826537061087,0.6299145864555752,0.7392954472832886,0.8121177512261123,0.824715820592055,0.6211836367443007,0.7041286575098621,0.6877176647476122,0.743689398048344,0.8325698656625034,0.7283661632536722,0.24190778525762222,0.8341522847975861,0.2954448258230063,0.8695028667481468,0.7545233562411987,0.7528240562580596,0.8245253041927957,0.7045042055410113,0.7869817953918203,0.8187789232290861,0.7886026626061913,0.7737349790473659,0.7692526716523401,0.7063871110298771,0.718922334363346,0.8018058281526618,0.5381254203710252,0.7138598546101173,0.7694277081571265,0.7833719723511043,-0.41226774932606186,0.7380116073634712,0.7345985285341038,0.7913025719447818,0.7965875319536891,0.8395866509710443,0.7370391810651421,0.7996878027499688,0.8576891361694138,0.7335167943182327,0.8060910964900513,0.6062562144620455,0.7633156009484735,0.7384010595495072,0.8071703656140915,0.7663933537482451,0.7903222726025905,0.8185429354272329,0.7891060483127349,0.7324385681406098,0.88072948181516,0.6027752394106864,0.7752225192781984,0.7914975133420432,0.3824981760093685,0.7337184167667079,0.7446673857948204,0.34987793620233143,0.8236407676728991,0.7310608146119333,0.7978051247041287,0.7953025984631563,0.7141609471514628,0.7232437372361821,0.7164556690129588,0.8542953832666829,0.6138221879170839,0.7653906263073336,0.77442095297755,0.29451937404257716,0.8091942847450122,0.7921434667957076,0.8349212375903013,0.775377908540411,0.757435030832312,0.7764739067911811,0.5405820580495319,0.14768615144040498,0.5773057195381087
000568.SZ,0.6506956056254442,0.8187927040323121,0.7206962918710564,0.8371611506231074,0.6976170807115488,0.7364799305742435,1.0,0.6263059211532666,0.8495884152426916,0.6737537307826874,0.7745381406924333,0.948640893183185,0.6510283175181163,0.5789122019802471,0.8475393526618019,0.6574294592288296,0.7576196571914822,0.6519267964819294,0.7096992057929711,-0.053100181011871084,-0.22070021373268578,0.39966891451442677,0.7158318213212415,0.7992613656134139,0.7366874106189347,0.7441338185115957,0.6839236812925894,0.874313659246595,0.5197679740222582,0.7542978619550572,0.49642054834405,0.631358532355502,0.37813227575508,-0.19886893782671944,0.5477955903501294,-0.028600285454686885,0.7442209634932432,0.492956612996669,0.47789225067747876,0.7349297346828606,0.6392527290769745,0.8723250634773971,0.706529834135971,0.7648564682314011,0.5129614867511909,0.8252201954902768,0.8217194544560423,0.36392994227327863,0.7854905217010817,0.7378004499233878,0.8799921239955587,0.8153072343452853,0.4305311185897231,-0.399202496100781,0.8183985732472104,0.7839694933302922,0.7104771257161372,0.6601804368105677,0.7125478172835725,0.7921736744653863,0.5910108127055064,0.6951025045231959,0.458809774114842,0.6522675194234975,0.220110349352612,0.6931392248642174,0.4278249188129643,0.6009783527408662,0.6004629703956347,0.6361016776475513,0.5248404051838592,0.4772762045245022,0.43801282425102644,0.6911314858963388,0.34006644966187816,0.4760121081136306,0.5445243939181351,-0.0037275076078868894,0.5613863159986461,0.4983167101852896,0.230967586138773,0.6467173051837354,0.7658838800076713,0.7393940606841586,0.7125821127292767,0.6328168213989169,0.4348356805021532,0.47281382867432137,0.6786906392510378,0.4950772942759491,0.7642317140770215,0.7126234127848647,0.15306466076692668,0.7158686386420863,0.7407823213841475,0.6622366964256291,0.6496966665903999,0.5067713633881018,0.6371324635173482,0.17256469513026448,0.21645772434673674,0.4187503337098384
000625.SZ,0.840785933079662,0.8019992062927325,0.8591523681077186,0.8321686155240567,0.9289415433063343,0.7831550751749242,0.6263059211532666,1.0,0.7194058673066497,0.7598267099727893,0.9329845898707868,0.624977230652567,0.8963034312791596,0.14238905281569927,0.6041825341676345,0.4155500938674081,0.55942827807512,0.4857951960931892,0.25478539728397104,-0.4916718430796594,-0.601408151297378,0.5177417945442363,0.44800352701199414,0.6905375233130595,0.7869455964163454,0.8564326175565058,0.8936287770930714,0.4919544074796407,0.8601200207758936,0.6883470992446541,0.7682390165468344,0.8361851571173636,0.5092686313048256,-0.008096496738565143,0.8385939792219541,-0.06644580193363374,0.8895397435273985,0.7444171479359764,0.7627771470653286,0.8727483275292717,0.9456217185973409,0.8113611983540902,0.6300375363778545,0.7254897962277774,0.710220892607092,0.5513347285232024,0.5170855252367995,0.6805633493803512,0.7999972416008777,0.32838789746894853,0.4948248227548233,0.7229969623165373,0.5670298051205325,-0.710277053228749,0.5277151066879405,0.5551156258755984,0.9187058512593581,0.9357668284307014,0.9295509417413671,0.4866476473407892,0.843290518034329,0.8787362058056467,0.6188427117641443,0.6575567918336602,0.4695949844492751,0.7742025004545345,0.7274867358013543,0.7353890951229546,0.9019264037910215,0.9355814346763185,0.7613857018273508,0.6225147951868936,0.7179406273431733,0.8290391999565155,0.7338700136706517,0.7744699003596983,0.7417839520457624,0.14490637512911334,0.9227845775542584,0.8101722667673922,0.27575080806090463,0.8807353764560899,0.8013485726158637,0.9365579190816319,0.9293490584142073,0.9097940648143833,0.7806987180571571,0.7994960121189781,0.8793660924303243,0.58948887164178,0.8506564833634466,0.8540588651399377,-0.22624999817394223,0.896426068910848,0.8800839266661852,0.8117186712296607,0.8968253068643127,0.7950323852529578,0.9141812558525708,0.5491909660450659,-0.2405868097493349,0.2987700318609557
000725.SZ,0.6095820126631508,0.7566435420157337,0.7249988208379685,0.9100887016133447,0.7346572042059406,0.7183555908284189,0.8495884152426916,0.7194058673066497,1.0,0.7375375897301794,0.7931194111492715,0.7874742849388287,0.6783083657300834,0.4828001432691231,0.8359378215283915,0.6752520101666892,0.8200114396337481,0.7457892148963952,0.5162023392084337,-0.034030565342229584,-0.23008169563576153,0.4925908916981834,0.8463638454191598,0.8132884131584568,0.787998507090739,0.7776341151237854,0.7466751041309165,0.8090844979441983,0.5356839751873678,0.7946121737969825,0.4582862773373506,0.6057653518489509,0.3488710421893002,-0.3011429060894832,0.5288244297505169,-0.13053642935703003,0.7235339954364206,0.4476011490458529,0.4560737067095404,0.7930598407993085,0.7301432315381341,0.8876415599749355,0.6680733079654756,0.8359444562655773,0.47525366937668395,0.8248891344084425,0.784502341654381,0.30181604958261293,0.7938179394054609,0.7558160005023296,0.7308405068168694,0.8632106457334668,0.35162471048394556,-0.36874113670984016,0.8160637491755888,0.7514623125626426,0.8069287277635104,0.7431686395023798,0.7812868324709825,0.6383147181726703,0.6035281829208794,0.6731621722440552,0.38694477516835796,0.6201590516362839,0.10257684956473023,0.6193130781497187,0.3800763776678972,0.5097587758617442,0.6079967490931434,0.7199666880260108,0.4743140969451318,0.4122638249122119,0.41453118666650735,0.6702803386681276,0.3314570431527853,0.46888108340640855,0.4746545720455524,-0.03304383787092571,0.6463226417074162,0.4837521301092696,0.3760837193470478,0.6433036280714953,0.8163559639637638,0.8102087622625773,0.7638563986630561,0.7028641657341574,0.48783808772113163,0.43640831264981444,0.6465806762662039,0.5547679011701762,0.8427507092311693,0.7430292596442575,0.03297429007022859,0.8059719566493903,0.7764394867823579,0.6162569157299033,0.6935080021107832,0.4589666562497001,0.7421548966724237,0.13317189136072313,0.1461079876760685,0.5019515848933317
000768.SZ,0.7461982366468224,0.7974171893064944,0.791844744734719,0.7751648566132042,0.7578112193340427,0.7680838457127487,0.6737537307826874,0.7598267099727893,0.7375375897301794,1.0,0.7687572611063991,0.7219212941729762,0.7005448664232948,0.32839725959534494,0.7028428405156305,0.6835591569226448,0.7232667585527784,0.7193960325764914,0.43654920907957834,-0.12162022593067383,-0.44259394044636496,0.6661208127452409,0.6228464511371615,0.7315067750692884,0.7666502693566897,0.8246766092496101,0.8182934713509988,0.6312466007975489,0.5837846191506783,0.6521674607363007,0.5672554831416589,0.7015006842585226,0.5097140370520216,-0.1174562646566387,0.6702360081830488,-0.03553038156992081,0.7885808240009419,0.6467147417138653,0.6295610532465791,0.8258782006784223,0.7119344806412015,0.7440170093672288,0.6855508414154464,0.8337044965451078,0.5848393813992608,0.6539549064877053,0.6864521841751041,0.49290396094237976,0.7794616200208685,0.4981968176661373,0.6440528225051964,0.8563851080265135,0.5163892529013295,-0.43544861725391426,0.6359225168247065,0.6031219747542854,0.7359761815374289,0.7764675822580401,0.76018733192853,0.6262022853173597,0.6295704743612854,0.7071890029853757,0.5585586894020752,0.661413885759004,0.30821096513143,0.7129321304468695,0.4998604059018466,0.5711946224661745,0.6869969552257701,0.7362620298950963,0.6444762074880437,0.5053613445241357,0.5365363183326217,0.7356659228117106,0.3927910259261063,0.6031803882388421,0.6561565446071692,-0.0002262841845726791,0.6851326541233994,0.6174846981888346,0.3477189357363277,0.7159645682451273,0.7289722667618337,0.7606324592741863,0.7288002124191805,0.6918907338825666,0.643409762558046,0.5524120603843317,0.7729458878022131,0.5288226195027078,0.8203556587011205,0.7831280411850319,0.08545055232243455,0.770528270675778,0.7368372446668459,0.7273763878592759,0.754723388253125,0.5783118812521347,0.8188758450174903,0.28822545464805405,0.020196808162391045,0.5599761437641728
