kdcode,dt
000001.SZ,2024-11-21
000002.SZ,2024-11-21
000069.SZ,2024-11-21
000157.SZ,2024-11-21
000166.SZ,2024-11-21
000338.SZ,2024-11-21
000568.SZ,2024-11-21
000625.SZ,2024-11-21
000725.SZ,2024-11-21
000768.SZ,2024-11-21
000776.SZ,2024-11-21
000858.SZ,2024-11-21
000876.SZ,2024-11-21
000963.SZ,2024-11-21
002007.SZ,2024-11-21
002027.SZ,2024-11-21
002230.SZ,2024-11-21
002241.SZ,2024-11-21
002304.SZ,2024-11-21
002460.SZ,2024-11-21
002475.SZ,2024-11-21
002555.SZ,2024-11-21
002594.SZ,2024-11-21
002714.SZ,2024-11-21
002736.SZ,2024-11-21
300033.SZ,2024-11-21
300059.SZ,2024-11-21
300122.SZ,2024-11-21
600000.SH,2024-11-21
600011.SH,2024-11-21
600015.SH,2024-11-21
600016.SH,2024-11-21
600018.SH,2024-11-21
600019.SH,2024-11-21
600028.SH,2024-11-21
600029.SH,2024-11-21
600031.SH,2024-11-21
600036.SH,2024-11-21
600048.SH,2024-11-21
600050.SH,2024-11-21
600061.SH,2024-11-21
600085.SH,2024-11-21
600104.SH,2024-11-21
600111.SH,2024-11-21
600115.SH,2024-11-21
600196.SH,2024-11-21
600276.SH,2024-11-21
600362.SH,2024-11-21
600406.SH,2024-11-21
600436.SH,2024-11-21
600519.SH,2024-11-21
600570.SH,2024-11-21
600585.SH,2024-11-21
600588.SH,2024-11-21
600660.SH,2024-11-21
600741.SH,2024-11-21
600795.SH,2024-11-21
600837.SH,2024-11-21
600886.SH,2024-11-21
600887.SH,2024-11-21
600926.SH,2024-11-21
601006.SH,2024-11-21
601009.SH,2024-11-21
601021.SH,2024-11-21
601088.SH,2024-11-21
601155.SH,2024-11-21
601166.SH,2024-11-21
601169.SH,2024-11-21
601186.SH,2024-11-21
601211.SH,2024-11-21
601225.SH,2024-11-21
601229.SH,2024-11-21
601288.SH,2024-11-21
601318.SH,2024-11-21
601328.SH,2024-11-21
601336.SH,2024-11-21
601398.SH,2024-11-21
601601.SH,2024-11-21
601618.SH,2024-11-21
601628.SH,2024-11-21
601633.SH,2024-11-21
601668.SH,2024-11-21
601669.SH,2024-11-21
601688.SH,2024-11-21
601766.SH,2024-11-21
601788.SH,2024-11-21
601800.SH,2024-11-21
601818.SH,2024-11-21
601857.SH,2024-11-21
601877.SH,2024-11-21
601878.SH,2024-11-21
601881.SH,2024-11-21
601888.SH,2024-11-21
601901.SH,2024-11-21
601919.SH,2024-11-21
601939.SH,2024-11-21
601985.SH,2024-11-21
601988.SH,2024-11-21
601989.SH,2024-11-21
601998.SH,2024-11-21
603833.SH,2024-11-21
603993.SH,2024-11-21
