kdcode,dt
000001.SZ,2018-10-16
000002.SZ,2018-10-16
000069.SZ,2018-10-16
000157.SZ,2018-10-16
000166.SZ,2018-10-16
000338.SZ,2018-10-16
000568.SZ,2018-10-16
000625.SZ,2018-10-16
000725.SZ,2018-10-16
000768.SZ,2018-10-16
000776.SZ,2018-10-16
000858.SZ,2018-10-16
000876.SZ,2018-10-16
000963.SZ,2018-10-16
002007.SZ,2018-10-16
002027.SZ,2018-10-16
002230.SZ,2018-10-16
002241.SZ,2018-10-16
002304.SZ,2018-10-16
002460.SZ,2018-10-16
002475.SZ,2018-10-16
002555.SZ,2018-10-16
002594.SZ,2018-10-16
002714.SZ,2018-10-16
002736.SZ,2018-10-16
300033.SZ,2018-10-16
300059.SZ,2018-10-16
300122.SZ,2018-10-16
600000.SH,2018-10-16
600011.SH,2018-10-16
600015.SH,2018-10-16
600016.SH,2018-10-16
600018.SH,2018-10-16
600019.SH,2018-10-16
600028.SH,2018-10-16
600029.SH,2018-10-16
600031.SH,2018-10-16
600036.SH,2018-10-16
600048.SH,2018-10-16
600050.SH,2018-10-16
600061.SH,2018-10-16
600085.SH,2018-10-16
600104.SH,2018-10-16
600111.SH,2018-10-16
600115.SH,2018-10-16
600196.SH,2018-10-16
600276.SH,2018-10-16
600362.SH,2018-10-16
600406.SH,2018-10-16
600436.SH,2018-10-16
600519.SH,2018-10-16
600570.SH,2018-10-16
600585.SH,2018-10-16
600588.SH,2018-10-16
600660.SH,2018-10-16
600741.SH,2018-10-16
600795.SH,2018-10-16
600837.SH,2018-10-16
600886.SH,2018-10-16
600887.SH,2018-10-16
600926.SH,2018-10-16
601006.SH,2018-10-16
601009.SH,2018-10-16
601021.SH,2018-10-16
601088.SH,2018-10-16
601155.SH,2018-10-16
601166.SH,2018-10-16
601169.SH,2018-10-16
601186.SH,2018-10-16
601211.SH,2018-10-16
601225.SH,2018-10-16
601229.SH,2018-10-16
601288.SH,2018-10-16
601318.SH,2018-10-16
601328.SH,2018-10-16
601336.SH,2018-10-16
601398.SH,2018-10-16
601601.SH,2018-10-16
601618.SH,2018-10-16
601628.SH,2018-10-16
601633.SH,2018-10-16
601668.SH,2018-10-16
601669.SH,2018-10-16
601688.SH,2018-10-16
601766.SH,2018-10-16
601788.SH,2018-10-16
601800.SH,2018-10-16
601818.SH,2018-10-16
601857.SH,2018-10-16
601877.SH,2018-10-16
601878.SH,2018-10-16
601881.SH,2018-10-16
601888.SH,2018-10-16
601901.SH,2018-10-16
601919.SH,2018-10-16
601939.SH,2018-10-16
601985.SH,2018-10-16
601988.SH,2018-10-16
601989.SH,2018-10-16
601998.SH,2018-10-16
603833.SH,2018-10-16
603993.SH,2018-10-16
