kdcode,dt
000001.SZ,2019-04-11
000002.SZ,2019-04-11
000069.SZ,2019-04-11
000157.SZ,2019-04-11
000166.SZ,2019-04-11
000338.SZ,2019-04-11
000568.SZ,2019-04-11
000625.SZ,2019-04-11
000725.SZ,2019-04-11
000768.SZ,2019-04-11
000776.SZ,2019-04-11
000858.SZ,2019-04-11
000876.SZ,2019-04-11
000963.SZ,2019-04-11
002007.SZ,2019-04-11
002027.SZ,2019-04-11
002230.SZ,2019-04-11
002241.SZ,2019-04-11
002304.SZ,2019-04-11
002460.SZ,2019-04-11
002475.SZ,2019-04-11
002555.SZ,2019-04-11
002594.SZ,2019-04-11
002714.SZ,2019-04-11
002736.SZ,2019-04-11
300033.SZ,2019-04-11
300059.SZ,2019-04-11
300122.SZ,2019-04-11
600000.SH,2019-04-11
600011.SH,2019-04-11
600015.SH,2019-04-11
600016.SH,2019-04-11
600018.SH,2019-04-11
600019.SH,2019-04-11
600028.SH,2019-04-11
600029.SH,2019-04-11
600031.SH,2019-04-11
600036.SH,2019-04-11
600048.SH,2019-04-11
600050.SH,2019-04-11
600061.SH,2019-04-11
600085.SH,2019-04-11
600104.SH,2019-04-11
600111.SH,2019-04-11
600115.SH,2019-04-11
600196.SH,2019-04-11
600276.SH,2019-04-11
600362.SH,2019-04-11
600406.SH,2019-04-11
600436.SH,2019-04-11
600519.SH,2019-04-11
600570.SH,2019-04-11
600585.SH,2019-04-11
600588.SH,2019-04-11
600660.SH,2019-04-11
600741.SH,2019-04-11
600795.SH,2019-04-11
600837.SH,2019-04-11
600886.SH,2019-04-11
600887.SH,2019-04-11
600926.SH,2019-04-11
601006.SH,2019-04-11
601009.SH,2019-04-11
601021.SH,2019-04-11
601088.SH,2019-04-11
601155.SH,2019-04-11
601166.SH,2019-04-11
601169.SH,2019-04-11
601186.SH,2019-04-11
601211.SH,2019-04-11
601225.SH,2019-04-11
601229.SH,2019-04-11
601288.SH,2019-04-11
601318.SH,2019-04-11
601328.SH,2019-04-11
601336.SH,2019-04-11
601398.SH,2019-04-11
601601.SH,2019-04-11
601618.SH,2019-04-11
601628.SH,2019-04-11
601633.SH,2019-04-11
601668.SH,2019-04-11
601669.SH,2019-04-11
601688.SH,2019-04-11
601766.SH,2019-04-11
601788.SH,2019-04-11
601800.SH,2019-04-11
601818.SH,2019-04-11
601857.SH,2019-04-11
601877.SH,2019-04-11
601878.SH,2019-04-11
601881.SH,2019-04-11
601888.SH,2019-04-11
601901.SH,2019-04-11
601919.SH,2019-04-11
601939.SH,2019-04-11
601985.SH,2019-04-11
601988.SH,2019-04-11
601989.SH,2019-04-11
601998.SH,2019-04-11
603833.SH,2019-04-11
603993.SH,2019-04-11
