kdcode,dt
000001.SZ,2024-06-25
000002.SZ,2024-06-25
000069.SZ,2024-06-25
000157.SZ,2024-06-25
000166.SZ,2024-06-25
000338.SZ,2024-06-25
000568.SZ,2024-06-25
000625.SZ,2024-06-25
000725.SZ,2024-06-25
000768.SZ,2024-06-25
000776.SZ,2024-06-25
000858.SZ,2024-06-25
000876.SZ,2024-06-25
000963.SZ,2024-06-25
002007.SZ,2024-06-25
002027.SZ,2024-06-25
002230.SZ,2024-06-25
002241.SZ,2024-06-25
002304.SZ,2024-06-25
002460.SZ,2024-06-25
002475.SZ,2024-06-25
002555.SZ,2024-06-25
002594.SZ,2024-06-25
002714.SZ,2024-06-25
002736.SZ,2024-06-25
300033.SZ,2024-06-25
300059.SZ,2024-06-25
300122.SZ,2024-06-25
600000.SH,2024-06-25
600011.SH,2024-06-25
600015.SH,2024-06-25
600016.SH,2024-06-25
600018.SH,2024-06-25
600019.SH,2024-06-25
600028.SH,2024-06-25
600029.SH,2024-06-25
600031.SH,2024-06-25
600036.SH,2024-06-25
600048.SH,2024-06-25
600050.SH,2024-06-25
600061.SH,2024-06-25
600085.SH,2024-06-25
600104.SH,2024-06-25
600111.SH,2024-06-25
600115.SH,2024-06-25
600196.SH,2024-06-25
600276.SH,2024-06-25
600362.SH,2024-06-25
600406.SH,2024-06-25
600436.SH,2024-06-25
600519.SH,2024-06-25
600570.SH,2024-06-25
600585.SH,2024-06-25
600588.SH,2024-06-25
600660.SH,2024-06-25
600741.SH,2024-06-25
600795.SH,2024-06-25
600837.SH,2024-06-25
600886.SH,2024-06-25
600887.SH,2024-06-25
600926.SH,2024-06-25
601006.SH,2024-06-25
601009.SH,2024-06-25
601021.SH,2024-06-25
601088.SH,2024-06-25
601155.SH,2024-06-25
601166.SH,2024-06-25
601169.SH,2024-06-25
601186.SH,2024-06-25
601211.SH,2024-06-25
601225.SH,2024-06-25
601229.SH,2024-06-25
601288.SH,2024-06-25
601318.SH,2024-06-25
601328.SH,2024-06-25
601336.SH,2024-06-25
601398.SH,2024-06-25
601601.SH,2024-06-25
601618.SH,2024-06-25
601628.SH,2024-06-25
601633.SH,2024-06-25
601668.SH,2024-06-25
601669.SH,2024-06-25
601688.SH,2024-06-25
601766.SH,2024-06-25
601788.SH,2024-06-25
601800.SH,2024-06-25
601818.SH,2024-06-25
601857.SH,2024-06-25
601877.SH,2024-06-25
601878.SH,2024-06-25
601881.SH,2024-06-25
601888.SH,2024-06-25
601901.SH,2024-06-25
601919.SH,2024-06-25
601939.SH,2024-06-25
601985.SH,2024-06-25
601988.SH,2024-06-25
601989.SH,2024-06-25
601998.SH,2024-06-25
603833.SH,2024-06-25
603993.SH,2024-06-25
