kdcode,dt
000001.SZ,2020-07-15
000002.SZ,2020-07-15
000069.SZ,2020-07-15
000157.SZ,2020-07-15
000166.SZ,2020-07-15
000338.SZ,2020-07-15
000568.SZ,2020-07-15
000625.SZ,2020-07-15
000725.SZ,2020-07-15
000768.SZ,2020-07-15
000776.SZ,2020-07-15
000858.SZ,2020-07-15
000876.SZ,2020-07-15
000963.SZ,2020-07-15
002007.SZ,2020-07-15
002027.SZ,2020-07-15
002230.SZ,2020-07-15
002241.SZ,2020-07-15
002304.SZ,2020-07-15
002460.SZ,2020-07-15
002475.SZ,2020-07-15
002555.SZ,2020-07-15
002594.SZ,2020-07-15
002714.SZ,2020-07-15
002736.SZ,2020-07-15
300033.SZ,2020-07-15
300059.SZ,2020-07-15
300122.SZ,2020-07-15
600000.SH,2020-07-15
600011.SH,2020-07-15
600015.SH,2020-07-15
600016.SH,2020-07-15
600018.SH,2020-07-15
600019.SH,2020-07-15
600028.SH,2020-07-15
600029.SH,2020-07-15
600031.SH,2020-07-15
600036.SH,2020-07-15
600048.SH,2020-07-15
600050.SH,2020-07-15
600061.SH,2020-07-15
600085.SH,2020-07-15
600104.SH,2020-07-15
600111.SH,2020-07-15
600115.SH,2020-07-15
600196.SH,2020-07-15
600276.SH,2020-07-15
600362.SH,2020-07-15
600406.SH,2020-07-15
600436.SH,2020-07-15
600519.SH,2020-07-15
600570.SH,2020-07-15
600585.SH,2020-07-15
600588.SH,2020-07-15
600660.SH,2020-07-15
600741.SH,2020-07-15
600795.SH,2020-07-15
600837.SH,2020-07-15
600886.SH,2020-07-15
600887.SH,2020-07-15
600926.SH,2020-07-15
601006.SH,2020-07-15
601009.SH,2020-07-15
601021.SH,2020-07-15
601088.SH,2020-07-15
601155.SH,2020-07-15
601166.SH,2020-07-15
601169.SH,2020-07-15
601186.SH,2020-07-15
601211.SH,2020-07-15
601225.SH,2020-07-15
601229.SH,2020-07-15
601288.SH,2020-07-15
601318.SH,2020-07-15
601328.SH,2020-07-15
601336.SH,2020-07-15
601398.SH,2020-07-15
601601.SH,2020-07-15
601618.SH,2020-07-15
601628.SH,2020-07-15
601633.SH,2020-07-15
601668.SH,2020-07-15
601669.SH,2020-07-15
601688.SH,2020-07-15
601766.SH,2020-07-15
601788.SH,2020-07-15
601800.SH,2020-07-15
601818.SH,2020-07-15
601857.SH,2020-07-15
601877.SH,2020-07-15
601878.SH,2020-07-15
601881.SH,2020-07-15
601888.SH,2020-07-15
601901.SH,2020-07-15
601919.SH,2020-07-15
601939.SH,2020-07-15
601985.SH,2020-07-15
601988.SH,2020-07-15
601989.SH,2020-07-15
601998.SH,2020-07-15
603833.SH,2020-07-15
603993.SH,2020-07-15
