kdcode,dt
000001.SZ,2018-04-04
000002.SZ,2018-04-04
000069.SZ,2018-04-04
000157.SZ,2018-04-04
000166.SZ,2018-04-04
000338.SZ,2018-04-04
000568.SZ,2018-04-04
000625.SZ,2018-04-04
000725.SZ,2018-04-04
000768.SZ,2018-04-04
000776.SZ,2018-04-04
000858.SZ,2018-04-04
000876.SZ,2018-04-04
000963.SZ,2018-04-04
002007.SZ,2018-04-04
002027.SZ,2018-04-04
002230.SZ,2018-04-04
002241.SZ,2018-04-04
002304.SZ,2018-04-04
002460.SZ,2018-04-04
002475.SZ,2018-04-04
002555.SZ,2018-04-04
002594.SZ,2018-04-04
002714.SZ,2018-04-04
002736.SZ,2018-04-04
300033.SZ,2018-04-04
300059.SZ,2018-04-04
300122.SZ,2018-04-04
600000.SH,2018-04-04
600011.SH,2018-04-04
600015.SH,2018-04-04
600016.SH,2018-04-04
600018.SH,2018-04-04
600019.SH,2018-04-04
600028.SH,2018-04-04
600029.SH,2018-04-04
600031.SH,2018-04-04
600036.SH,2018-04-04
600048.SH,2018-04-04
600050.SH,2018-04-04
600061.SH,2018-04-04
600085.SH,2018-04-04
600104.SH,2018-04-04
600111.SH,2018-04-04
600115.SH,2018-04-04
600196.SH,2018-04-04
600276.SH,2018-04-04
600362.SH,2018-04-04
600406.SH,2018-04-04
600436.SH,2018-04-04
600519.SH,2018-04-04
600570.SH,2018-04-04
600585.SH,2018-04-04
600588.SH,2018-04-04
600660.SH,2018-04-04
600741.SH,2018-04-04
600795.SH,2018-04-04
600837.SH,2018-04-04
600886.SH,2018-04-04
600887.SH,2018-04-04
600926.SH,2018-04-04
601006.SH,2018-04-04
601009.SH,2018-04-04
601021.SH,2018-04-04
601088.SH,2018-04-04
601155.SH,2018-04-04
601166.SH,2018-04-04
601169.SH,2018-04-04
601186.SH,2018-04-04
601211.SH,2018-04-04
601225.SH,2018-04-04
601229.SH,2018-04-04
601288.SH,2018-04-04
601318.SH,2018-04-04
601328.SH,2018-04-04
601336.SH,2018-04-04
601398.SH,2018-04-04
601601.SH,2018-04-04
601618.SH,2018-04-04
601628.SH,2018-04-04
601633.SH,2018-04-04
601668.SH,2018-04-04
601669.SH,2018-04-04
601688.SH,2018-04-04
601766.SH,2018-04-04
601788.SH,2018-04-04
601800.SH,2018-04-04
601818.SH,2018-04-04
601857.SH,2018-04-04
601877.SH,2018-04-04
601878.SH,2018-04-04
601881.SH,2018-04-04
601888.SH,2018-04-04
601901.SH,2018-04-04
601919.SH,2018-04-04
601939.SH,2018-04-04
601985.SH,2018-04-04
601988.SH,2018-04-04
601989.SH,2018-04-04
601998.SH,2018-04-04
603833.SH,2018-04-04
603993.SH,2018-04-04
