kdcode,dt
000001.SZ,2019-05-22
000002.SZ,2019-05-22
000069.SZ,2019-05-22
000157.SZ,2019-05-22
000166.SZ,2019-05-22
000338.SZ,2019-05-22
000568.SZ,2019-05-22
000625.SZ,2019-05-22
000725.SZ,2019-05-22
000768.SZ,2019-05-22
000776.SZ,2019-05-22
000858.SZ,2019-05-22
000876.SZ,2019-05-22
000963.SZ,2019-05-22
002007.SZ,2019-05-22
002027.SZ,2019-05-22
002230.SZ,2019-05-22
002241.SZ,2019-05-22
002304.SZ,2019-05-22
002460.SZ,2019-05-22
002475.SZ,2019-05-22
002555.SZ,2019-05-22
002594.SZ,2019-05-22
002714.SZ,2019-05-22
002736.SZ,2019-05-22
300033.SZ,2019-05-22
300059.SZ,2019-05-22
300122.SZ,2019-05-22
600000.SH,2019-05-22
600011.SH,2019-05-22
600015.SH,2019-05-22
600016.SH,2019-05-22
600018.SH,2019-05-22
600019.SH,2019-05-22
600028.SH,2019-05-22
600029.SH,2019-05-22
600031.SH,2019-05-22
600036.SH,2019-05-22
600048.SH,2019-05-22
600050.SH,2019-05-22
600061.SH,2019-05-22
600085.SH,2019-05-22
600104.SH,2019-05-22
600111.SH,2019-05-22
600115.SH,2019-05-22
600196.SH,2019-05-22
600276.SH,2019-05-22
600362.SH,2019-05-22
600406.SH,2019-05-22
600436.SH,2019-05-22
600519.SH,2019-05-22
600570.SH,2019-05-22
600585.SH,2019-05-22
600588.SH,2019-05-22
600660.SH,2019-05-22
600741.SH,2019-05-22
600795.SH,2019-05-22
600837.SH,2019-05-22
600886.SH,2019-05-22
600887.SH,2019-05-22
600926.SH,2019-05-22
601006.SH,2019-05-22
601009.SH,2019-05-22
601021.SH,2019-05-22
601088.SH,2019-05-22
601155.SH,2019-05-22
601166.SH,2019-05-22
601169.SH,2019-05-22
601186.SH,2019-05-22
601211.SH,2019-05-22
601225.SH,2019-05-22
601229.SH,2019-05-22
601288.SH,2019-05-22
601318.SH,2019-05-22
601328.SH,2019-05-22
601336.SH,2019-05-22
601398.SH,2019-05-22
601601.SH,2019-05-22
601618.SH,2019-05-22
601628.SH,2019-05-22
601633.SH,2019-05-22
601668.SH,2019-05-22
601669.SH,2019-05-22
601688.SH,2019-05-22
601766.SH,2019-05-22
601788.SH,2019-05-22
601800.SH,2019-05-22
601818.SH,2019-05-22
601857.SH,2019-05-22
601877.SH,2019-05-22
601878.SH,2019-05-22
601881.SH,2019-05-22
601888.SH,2019-05-22
601901.SH,2019-05-22
601919.SH,2019-05-22
601939.SH,2019-05-22
601985.SH,2019-05-22
601988.SH,2019-05-22
601989.SH,2019-05-22
601998.SH,2019-05-22
603833.SH,2019-05-22
603993.SH,2019-05-22
