kdcode,dt
000001.SZ,2018-09-07
000002.SZ,2018-09-07
000069.SZ,2018-09-07
000157.SZ,2018-09-07
000166.SZ,2018-09-07
000338.SZ,2018-09-07
000568.SZ,2018-09-07
000625.SZ,2018-09-07
000725.SZ,2018-09-07
000768.SZ,2018-09-07
000776.SZ,2018-09-07
000858.SZ,2018-09-07
000876.SZ,2018-09-07
000963.SZ,2018-09-07
002007.SZ,2018-09-07
002027.SZ,2018-09-07
002230.SZ,2018-09-07
002241.SZ,2018-09-07
002304.SZ,2018-09-07
002460.SZ,2018-09-07
002475.SZ,2018-09-07
002555.SZ,2018-09-07
002594.SZ,2018-09-07
002714.SZ,2018-09-07
002736.SZ,2018-09-07
300033.SZ,2018-09-07
300059.SZ,2018-09-07
300122.SZ,2018-09-07
600000.SH,2018-09-07
600011.SH,2018-09-07
600015.SH,2018-09-07
600016.SH,2018-09-07
600018.SH,2018-09-07
600019.SH,2018-09-07
600028.SH,2018-09-07
600029.SH,2018-09-07
600031.SH,2018-09-07
600036.SH,2018-09-07
600048.SH,2018-09-07
600050.SH,2018-09-07
600061.SH,2018-09-07
600085.SH,2018-09-07
600104.SH,2018-09-07
600111.SH,2018-09-07
600115.SH,2018-09-07
600196.SH,2018-09-07
600276.SH,2018-09-07
600362.SH,2018-09-07
600406.SH,2018-09-07
600436.SH,2018-09-07
600519.SH,2018-09-07
600570.SH,2018-09-07
600585.SH,2018-09-07
600588.SH,2018-09-07
600660.SH,2018-09-07
600741.SH,2018-09-07
600795.SH,2018-09-07
600837.SH,2018-09-07
600886.SH,2018-09-07
600887.SH,2018-09-07
600926.SH,2018-09-07
601006.SH,2018-09-07
601009.SH,2018-09-07
601021.SH,2018-09-07
601088.SH,2018-09-07
601155.SH,2018-09-07
601166.SH,2018-09-07
601169.SH,2018-09-07
601186.SH,2018-09-07
601211.SH,2018-09-07
601225.SH,2018-09-07
601229.SH,2018-09-07
601288.SH,2018-09-07
601318.SH,2018-09-07
601328.SH,2018-09-07
601336.SH,2018-09-07
601398.SH,2018-09-07
601601.SH,2018-09-07
601618.SH,2018-09-07
601628.SH,2018-09-07
601633.SH,2018-09-07
601668.SH,2018-09-07
601669.SH,2018-09-07
601688.SH,2018-09-07
601766.SH,2018-09-07
601788.SH,2018-09-07
601800.SH,2018-09-07
601818.SH,2018-09-07
601857.SH,2018-09-07
601877.SH,2018-09-07
601878.SH,2018-09-07
601881.SH,2018-09-07
601888.SH,2018-09-07
601901.SH,2018-09-07
601919.SH,2018-09-07
601939.SH,2018-09-07
601985.SH,2018-09-07
601988.SH,2018-09-07
601989.SH,2018-09-07
601998.SH,2018-09-07
603833.SH,2018-09-07
603993.SH,2018-09-07
