kdcode,dt
000001.SZ,2022-08-03
000002.SZ,2022-08-03
000069.SZ,2022-08-03
000157.SZ,2022-08-03
000166.SZ,2022-08-03
000338.SZ,2022-08-03
000568.SZ,2022-08-03
000625.SZ,2022-08-03
000725.SZ,2022-08-03
000768.SZ,2022-08-03
000776.SZ,2022-08-03
000858.SZ,2022-08-03
000876.SZ,2022-08-03
000963.SZ,2022-08-03
002007.SZ,2022-08-03
002027.SZ,2022-08-03
002230.SZ,2022-08-03
002241.SZ,2022-08-03
002304.SZ,2022-08-03
002460.SZ,2022-08-03
002475.SZ,2022-08-03
002555.SZ,2022-08-03
002594.SZ,2022-08-03
002714.SZ,2022-08-03
002736.SZ,2022-08-03
300033.SZ,2022-08-03
300059.SZ,2022-08-03
300122.SZ,2022-08-03
600000.SH,2022-08-03
600011.SH,2022-08-03
600015.SH,2022-08-03
600016.SH,2022-08-03
600018.SH,2022-08-03
600019.SH,2022-08-03
600028.SH,2022-08-03
600029.SH,2022-08-03
600031.SH,2022-08-03
600036.SH,2022-08-03
600048.SH,2022-08-03
600050.SH,2022-08-03
600061.SH,2022-08-03
600085.SH,2022-08-03
600104.SH,2022-08-03
600111.SH,2022-08-03
600115.SH,2022-08-03
600196.SH,2022-08-03
600276.SH,2022-08-03
600362.SH,2022-08-03
600406.SH,2022-08-03
600436.SH,2022-08-03
600519.SH,2022-08-03
600570.SH,2022-08-03
600585.SH,2022-08-03
600588.SH,2022-08-03
600660.SH,2022-08-03
600741.SH,2022-08-03
600795.SH,2022-08-03
600837.SH,2022-08-03
600886.SH,2022-08-03
600887.SH,2022-08-03
600926.SH,2022-08-03
601006.SH,2022-08-03
601009.SH,2022-08-03
601021.SH,2022-08-03
601088.SH,2022-08-03
601155.SH,2022-08-03
601166.SH,2022-08-03
601169.SH,2022-08-03
601186.SH,2022-08-03
601211.SH,2022-08-03
601225.SH,2022-08-03
601229.SH,2022-08-03
601288.SH,2022-08-03
601318.SH,2022-08-03
601328.SH,2022-08-03
601336.SH,2022-08-03
601398.SH,2022-08-03
601601.SH,2022-08-03
601618.SH,2022-08-03
601628.SH,2022-08-03
601633.SH,2022-08-03
601668.SH,2022-08-03
601669.SH,2022-08-03
601688.SH,2022-08-03
601766.SH,2022-08-03
601788.SH,2022-08-03
601800.SH,2022-08-03
601818.SH,2022-08-03
601857.SH,2022-08-03
601877.SH,2022-08-03
601878.SH,2022-08-03
601881.SH,2022-08-03
601888.SH,2022-08-03
601901.SH,2022-08-03
601919.SH,2022-08-03
601939.SH,2022-08-03
601985.SH,2022-08-03
601988.SH,2022-08-03
601989.SH,2022-08-03
601998.SH,2022-08-03
603833.SH,2022-08-03
603993.SH,2022-08-03
