kdcode,dt
000001.SZ,2023-12-20
000002.SZ,2023-12-20
000069.SZ,2023-12-20
000157.SZ,2023-12-20
000166.SZ,2023-12-20
000338.SZ,2023-12-20
000568.SZ,2023-12-20
000625.SZ,2023-12-20
000725.SZ,2023-12-20
000768.SZ,2023-12-20
000776.SZ,2023-12-20
000858.SZ,2023-12-20
000876.SZ,2023-12-20
000963.SZ,2023-12-20
002007.SZ,2023-12-20
002027.SZ,2023-12-20
002230.SZ,2023-12-20
002241.SZ,2023-12-20
002304.SZ,2023-12-20
002460.SZ,2023-12-20
002475.SZ,2023-12-20
002555.SZ,2023-12-20
002594.SZ,2023-12-20
002714.SZ,2023-12-20
002736.SZ,2023-12-20
300033.SZ,2023-12-20
300059.SZ,2023-12-20
300122.SZ,2023-12-20
600000.SH,2023-12-20
600011.SH,2023-12-20
600015.SH,2023-12-20
600016.SH,2023-12-20
600018.SH,2023-12-20
600019.SH,2023-12-20
600028.SH,2023-12-20
600029.SH,2023-12-20
600031.SH,2023-12-20
600036.SH,2023-12-20
600048.SH,2023-12-20
600050.SH,2023-12-20
600061.SH,2023-12-20
600085.SH,2023-12-20
600104.SH,2023-12-20
600111.SH,2023-12-20
600115.SH,2023-12-20
600196.SH,2023-12-20
600276.SH,2023-12-20
600362.SH,2023-12-20
600406.SH,2023-12-20
600436.SH,2023-12-20
600519.SH,2023-12-20
600570.SH,2023-12-20
600585.SH,2023-12-20
600588.SH,2023-12-20
600660.SH,2023-12-20
600741.SH,2023-12-20
600795.SH,2023-12-20
600837.SH,2023-12-20
600886.SH,2023-12-20
600887.SH,2023-12-20
600926.SH,2023-12-20
601006.SH,2023-12-20
601009.SH,2023-12-20
601021.SH,2023-12-20
601088.SH,2023-12-20
601155.SH,2023-12-20
601166.SH,2023-12-20
601169.SH,2023-12-20
601186.SH,2023-12-20
601211.SH,2023-12-20
601225.SH,2023-12-20
601229.SH,2023-12-20
601288.SH,2023-12-20
601318.SH,2023-12-20
601328.SH,2023-12-20
601336.SH,2023-12-20
601398.SH,2023-12-20
601601.SH,2023-12-20
601618.SH,2023-12-20
601628.SH,2023-12-20
601633.SH,2023-12-20
601668.SH,2023-12-20
601669.SH,2023-12-20
601688.SH,2023-12-20
601766.SH,2023-12-20
601788.SH,2023-12-20
601800.SH,2023-12-20
601818.SH,2023-12-20
601857.SH,2023-12-20
601877.SH,2023-12-20
601878.SH,2023-12-20
601881.SH,2023-12-20
601888.SH,2023-12-20
601901.SH,2023-12-20
601919.SH,2023-12-20
601939.SH,2023-12-20
601985.SH,2023-12-20
601988.SH,2023-12-20
601989.SH,2023-12-20
601998.SH,2023-12-20
603833.SH,2023-12-20
603993.SH,2023-12-20
