kdcode,dt
000001.SZ,2024-08-27
000002.SZ,2024-08-27
000069.SZ,2024-08-27
000157.SZ,2024-08-27
000166.SZ,2024-08-27
000338.SZ,2024-08-27
000568.SZ,2024-08-27
000625.SZ,2024-08-27
000725.SZ,2024-08-27
000768.SZ,2024-08-27
000776.SZ,2024-08-27
000858.SZ,2024-08-27
000876.SZ,2024-08-27
000963.SZ,2024-08-27
002007.SZ,2024-08-27
002027.SZ,2024-08-27
002230.SZ,2024-08-27
002241.SZ,2024-08-27
002304.SZ,2024-08-27
002460.SZ,2024-08-27
002475.SZ,2024-08-27
002555.SZ,2024-08-27
002594.SZ,2024-08-27
002714.SZ,2024-08-27
002736.SZ,2024-08-27
300033.SZ,2024-08-27
300059.SZ,2024-08-27
300122.SZ,2024-08-27
600000.SH,2024-08-27
600011.SH,2024-08-27
600015.SH,2024-08-27
600016.SH,2024-08-27
600018.SH,2024-08-27
600019.SH,2024-08-27
600028.SH,2024-08-27
600029.SH,2024-08-27
600031.SH,2024-08-27
600036.SH,2024-08-27
600048.SH,2024-08-27
600050.SH,2024-08-27
600061.SH,2024-08-27
600085.SH,2024-08-27
600104.SH,2024-08-27
600111.SH,2024-08-27
600115.SH,2024-08-27
600196.SH,2024-08-27
600276.SH,2024-08-27
600362.SH,2024-08-27
600406.SH,2024-08-27
600436.SH,2024-08-27
600519.SH,2024-08-27
600570.SH,2024-08-27
600585.SH,2024-08-27
600588.SH,2024-08-27
600660.SH,2024-08-27
600741.SH,2024-08-27
600795.SH,2024-08-27
600837.SH,2024-08-27
600886.SH,2024-08-27
600887.SH,2024-08-27
600926.SH,2024-08-27
601006.SH,2024-08-27
601009.SH,2024-08-27
601021.SH,2024-08-27
601088.SH,2024-08-27
601155.SH,2024-08-27
601166.SH,2024-08-27
601169.SH,2024-08-27
601186.SH,2024-08-27
601211.SH,2024-08-27
601225.SH,2024-08-27
601229.SH,2024-08-27
601288.SH,2024-08-27
601318.SH,2024-08-27
601328.SH,2024-08-27
601336.SH,2024-08-27
601398.SH,2024-08-27
601601.SH,2024-08-27
601618.SH,2024-08-27
601628.SH,2024-08-27
601633.SH,2024-08-27
601668.SH,2024-08-27
601669.SH,2024-08-27
601688.SH,2024-08-27
601766.SH,2024-08-27
601788.SH,2024-08-27
601800.SH,2024-08-27
601818.SH,2024-08-27
601857.SH,2024-08-27
601877.SH,2024-08-27
601878.SH,2024-08-27
601881.SH,2024-08-27
601888.SH,2024-08-27
601901.SH,2024-08-27
601919.SH,2024-08-27
601939.SH,2024-08-27
601985.SH,2024-08-27
601988.SH,2024-08-27
601989.SH,2024-08-27
601998.SH,2024-08-27
603833.SH,2024-08-27
603993.SH,2024-08-27
