kdcode,dt
000001.SZ,2022-03-08
000002.SZ,2022-03-08
000069.SZ,2022-03-08
000157.SZ,2022-03-08
000166.SZ,2022-03-08
000338.SZ,2022-03-08
000568.SZ,2022-03-08
000625.SZ,2022-03-08
000725.SZ,2022-03-08
000768.SZ,2022-03-08
000776.SZ,2022-03-08
000858.SZ,2022-03-08
000876.SZ,2022-03-08
000963.SZ,2022-03-08
002007.SZ,2022-03-08
002027.SZ,2022-03-08
002230.SZ,2022-03-08
002241.SZ,2022-03-08
002304.SZ,2022-03-08
002460.SZ,2022-03-08
002475.SZ,2022-03-08
002555.SZ,2022-03-08
002594.SZ,2022-03-08
002714.SZ,2022-03-08
002736.SZ,2022-03-08
300033.SZ,2022-03-08
300059.SZ,2022-03-08
300122.SZ,2022-03-08
600000.SH,2022-03-08
600011.SH,2022-03-08
600015.SH,2022-03-08
600016.SH,2022-03-08
600018.SH,2022-03-08
600019.SH,2022-03-08
600028.SH,2022-03-08
600029.SH,2022-03-08
600031.SH,2022-03-08
600036.SH,2022-03-08
600048.SH,2022-03-08
600050.SH,2022-03-08
600061.SH,2022-03-08
600085.SH,2022-03-08
600104.SH,2022-03-08
600111.SH,2022-03-08
600115.SH,2022-03-08
600196.SH,2022-03-08
600276.SH,2022-03-08
600362.SH,2022-03-08
600406.SH,2022-03-08
600436.SH,2022-03-08
600519.SH,2022-03-08
600570.SH,2022-03-08
600585.SH,2022-03-08
600588.SH,2022-03-08
600660.SH,2022-03-08
600741.SH,2022-03-08
600795.SH,2022-03-08
600837.SH,2022-03-08
600886.SH,2022-03-08
600887.SH,2022-03-08
600926.SH,2022-03-08
601006.SH,2022-03-08
601009.SH,2022-03-08
601021.SH,2022-03-08
601088.SH,2022-03-08
601155.SH,2022-03-08
601166.SH,2022-03-08
601169.SH,2022-03-08
601186.SH,2022-03-08
601211.SH,2022-03-08
601225.SH,2022-03-08
601229.SH,2022-03-08
601288.SH,2022-03-08
601318.SH,2022-03-08
601328.SH,2022-03-08
601336.SH,2022-03-08
601398.SH,2022-03-08
601601.SH,2022-03-08
601618.SH,2022-03-08
601628.SH,2022-03-08
601633.SH,2022-03-08
601668.SH,2022-03-08
601669.SH,2022-03-08
601688.SH,2022-03-08
601766.SH,2022-03-08
601788.SH,2022-03-08
601800.SH,2022-03-08
601818.SH,2022-03-08
601857.SH,2022-03-08
601877.SH,2022-03-08
601878.SH,2022-03-08
601881.SH,2022-03-08
601888.SH,2022-03-08
601901.SH,2022-03-08
601919.SH,2022-03-08
601939.SH,2022-03-08
601985.SH,2022-03-08
601988.SH,2022-03-08
601989.SH,2022-03-08
601998.SH,2022-03-08
603833.SH,2022-03-08
603993.SH,2022-03-08
