kdcode,dt
000001.SZ,2020-10-12
000002.SZ,2020-10-12
000069.SZ,2020-10-12
000157.SZ,2020-10-12
000166.SZ,2020-10-12
000338.SZ,2020-10-12
000568.SZ,2020-10-12
000625.SZ,2020-10-12
000725.SZ,2020-10-12
000768.SZ,2020-10-12
000776.SZ,2020-10-12
000858.SZ,2020-10-12
000876.SZ,2020-10-12
000963.SZ,2020-10-12
002007.SZ,2020-10-12
002027.SZ,2020-10-12
002230.SZ,2020-10-12
002241.SZ,2020-10-12
002304.SZ,2020-10-12
002460.SZ,2020-10-12
002475.SZ,2020-10-12
002555.SZ,2020-10-12
002594.SZ,2020-10-12
002714.SZ,2020-10-12
002736.SZ,2020-10-12
300033.SZ,2020-10-12
300059.SZ,2020-10-12
300122.SZ,2020-10-12
600000.SH,2020-10-12
600011.SH,2020-10-12
600015.SH,2020-10-12
600016.SH,2020-10-12
600018.SH,2020-10-12
600019.SH,2020-10-12
600028.SH,2020-10-12
600029.SH,2020-10-12
600031.SH,2020-10-12
600036.SH,2020-10-12
600048.SH,2020-10-12
600050.SH,2020-10-12
600061.SH,2020-10-12
600085.SH,2020-10-12
600104.SH,2020-10-12
600111.SH,2020-10-12
600115.SH,2020-10-12
600196.SH,2020-10-12
600276.SH,2020-10-12
600362.SH,2020-10-12
600406.SH,2020-10-12
600436.SH,2020-10-12
600519.SH,2020-10-12
600570.SH,2020-10-12
600585.SH,2020-10-12
600588.SH,2020-10-12
600660.SH,2020-10-12
600741.SH,2020-10-12
600795.SH,2020-10-12
600837.SH,2020-10-12
600886.SH,2020-10-12
600887.SH,2020-10-12
600926.SH,2020-10-12
601006.SH,2020-10-12
601009.SH,2020-10-12
601021.SH,2020-10-12
601088.SH,2020-10-12
601155.SH,2020-10-12
601166.SH,2020-10-12
601169.SH,2020-10-12
601186.SH,2020-10-12
601211.SH,2020-10-12
601225.SH,2020-10-12
601229.SH,2020-10-12
601288.SH,2020-10-12
601318.SH,2020-10-12
601328.SH,2020-10-12
601336.SH,2020-10-12
601398.SH,2020-10-12
601601.SH,2020-10-12
601618.SH,2020-10-12
601628.SH,2020-10-12
601633.SH,2020-10-12
601668.SH,2020-10-12
601669.SH,2020-10-12
601688.SH,2020-10-12
601766.SH,2020-10-12
601788.SH,2020-10-12
601800.SH,2020-10-12
601818.SH,2020-10-12
601857.SH,2020-10-12
601877.SH,2020-10-12
601878.SH,2020-10-12
601881.SH,2020-10-12
601888.SH,2020-10-12
601901.SH,2020-10-12
601919.SH,2020-10-12
601939.SH,2020-10-12
601985.SH,2020-10-12
601988.SH,2020-10-12
601989.SH,2020-10-12
601998.SH,2020-10-12
603833.SH,2020-10-12
603993.SH,2020-10-12
