kdcode,dt
000001.SZ,2019-05-29
000002.SZ,2019-05-29
000069.SZ,2019-05-29
000157.SZ,2019-05-29
000166.SZ,2019-05-29
000338.SZ,2019-05-29
000568.SZ,2019-05-29
000625.SZ,2019-05-29
000725.SZ,2019-05-29
000768.SZ,2019-05-29
000776.SZ,2019-05-29
000858.SZ,2019-05-29
000876.SZ,2019-05-29
000963.SZ,2019-05-29
002007.SZ,2019-05-29
002027.SZ,2019-05-29
002230.SZ,2019-05-29
002241.SZ,2019-05-29
002304.SZ,2019-05-29
002460.SZ,2019-05-29
002475.SZ,2019-05-29
002555.SZ,2019-05-29
002594.SZ,2019-05-29
002714.SZ,2019-05-29
002736.SZ,2019-05-29
300033.SZ,2019-05-29
300059.SZ,2019-05-29
300122.SZ,2019-05-29
600000.SH,2019-05-29
600011.SH,2019-05-29
600015.SH,2019-05-29
600016.SH,2019-05-29
600018.SH,2019-05-29
600019.SH,2019-05-29
600028.SH,2019-05-29
600029.SH,2019-05-29
600031.SH,2019-05-29
600036.SH,2019-05-29
600048.SH,2019-05-29
600050.SH,2019-05-29
600061.SH,2019-05-29
600085.SH,2019-05-29
600104.SH,2019-05-29
600111.SH,2019-05-29
600115.SH,2019-05-29
600196.SH,2019-05-29
600276.SH,2019-05-29
600362.SH,2019-05-29
600406.SH,2019-05-29
600436.SH,2019-05-29
600519.SH,2019-05-29
600570.SH,2019-05-29
600585.SH,2019-05-29
600588.SH,2019-05-29
600660.SH,2019-05-29
600741.SH,2019-05-29
600795.SH,2019-05-29
600837.SH,2019-05-29
600886.SH,2019-05-29
600887.SH,2019-05-29
600926.SH,2019-05-29
601006.SH,2019-05-29
601009.SH,2019-05-29
601021.SH,2019-05-29
601088.SH,2019-05-29
601155.SH,2019-05-29
601166.SH,2019-05-29
601169.SH,2019-05-29
601186.SH,2019-05-29
601211.SH,2019-05-29
601225.SH,2019-05-29
601229.SH,2019-05-29
601288.SH,2019-05-29
601318.SH,2019-05-29
601328.SH,2019-05-29
601336.SH,2019-05-29
601398.SH,2019-05-29
601601.SH,2019-05-29
601618.SH,2019-05-29
601628.SH,2019-05-29
601633.SH,2019-05-29
601668.SH,2019-05-29
601669.SH,2019-05-29
601688.SH,2019-05-29
601766.SH,2019-05-29
601788.SH,2019-05-29
601800.SH,2019-05-29
601818.SH,2019-05-29
601857.SH,2019-05-29
601877.SH,2019-05-29
601878.SH,2019-05-29
601881.SH,2019-05-29
601888.SH,2019-05-29
601901.SH,2019-05-29
601919.SH,2019-05-29
601939.SH,2019-05-29
601985.SH,2019-05-29
601988.SH,2019-05-29
601989.SH,2019-05-29
601998.SH,2019-05-29
603833.SH,2019-05-29
603993.SH,2019-05-29
