kdcode,dt
000001.SZ,2023-07-19
000002.SZ,2023-07-19
000069.SZ,2023-07-19
000157.SZ,2023-07-19
000166.SZ,2023-07-19
000338.SZ,2023-07-19
000568.SZ,2023-07-19
000625.SZ,2023-07-19
000725.SZ,2023-07-19
000768.SZ,2023-07-19
000776.SZ,2023-07-19
000858.SZ,2023-07-19
000876.SZ,2023-07-19
000963.SZ,2023-07-19
002007.SZ,2023-07-19
002027.SZ,2023-07-19
002230.SZ,2023-07-19
002241.SZ,2023-07-19
002304.SZ,2023-07-19
002460.SZ,2023-07-19
002475.SZ,2023-07-19
002555.SZ,2023-07-19
002594.SZ,2023-07-19
002714.SZ,2023-07-19
002736.SZ,2023-07-19
300033.SZ,2023-07-19
300059.SZ,2023-07-19
300122.SZ,2023-07-19
600000.SH,2023-07-19
600011.SH,2023-07-19
600015.SH,2023-07-19
600016.SH,2023-07-19
600018.SH,2023-07-19
600019.SH,2023-07-19
600028.SH,2023-07-19
600029.SH,2023-07-19
600031.SH,2023-07-19
600036.SH,2023-07-19
600048.SH,2023-07-19
600050.SH,2023-07-19
600061.SH,2023-07-19
600085.SH,2023-07-19
600104.SH,2023-07-19
600111.SH,2023-07-19
600115.SH,2023-07-19
600196.SH,2023-07-19
600276.SH,2023-07-19
600362.SH,2023-07-19
600406.SH,2023-07-19
600436.SH,2023-07-19
600519.SH,2023-07-19
600570.SH,2023-07-19
600585.SH,2023-07-19
600588.SH,2023-07-19
600660.SH,2023-07-19
600741.SH,2023-07-19
600795.SH,2023-07-19
600837.SH,2023-07-19
600886.SH,2023-07-19
600887.SH,2023-07-19
600926.SH,2023-07-19
601006.SH,2023-07-19
601009.SH,2023-07-19
601021.SH,2023-07-19
601088.SH,2023-07-19
601155.SH,2023-07-19
601166.SH,2023-07-19
601169.SH,2023-07-19
601186.SH,2023-07-19
601211.SH,2023-07-19
601225.SH,2023-07-19
601229.SH,2023-07-19
601288.SH,2023-07-19
601318.SH,2023-07-19
601328.SH,2023-07-19
601336.SH,2023-07-19
601398.SH,2023-07-19
601601.SH,2023-07-19
601618.SH,2023-07-19
601628.SH,2023-07-19
601633.SH,2023-07-19
601668.SH,2023-07-19
601669.SH,2023-07-19
601688.SH,2023-07-19
601766.SH,2023-07-19
601788.SH,2023-07-19
601800.SH,2023-07-19
601818.SH,2023-07-19
601857.SH,2023-07-19
601877.SH,2023-07-19
601878.SH,2023-07-19
601881.SH,2023-07-19
601888.SH,2023-07-19
601901.SH,2023-07-19
601919.SH,2023-07-19
601939.SH,2023-07-19
601985.SH,2023-07-19
601988.SH,2023-07-19
601989.SH,2023-07-19
601998.SH,2023-07-19
603833.SH,2023-07-19
603993.SH,2023-07-19
