kdcode,dt
000001.SZ,2023-05-17
000002.SZ,2023-05-17
000069.SZ,2023-05-17
000157.SZ,2023-05-17
000166.SZ,2023-05-17
000338.SZ,2023-05-17
000568.SZ,2023-05-17
000625.SZ,2023-05-17
000725.SZ,2023-05-17
000768.SZ,2023-05-17
000776.SZ,2023-05-17
000858.SZ,2023-05-17
000876.SZ,2023-05-17
000963.SZ,2023-05-17
002007.SZ,2023-05-17
002027.SZ,2023-05-17
002230.SZ,2023-05-17
002241.SZ,2023-05-17
002304.SZ,2023-05-17
002460.SZ,2023-05-17
002475.SZ,2023-05-17
002555.SZ,2023-05-17
002594.SZ,2023-05-17
002714.SZ,2023-05-17
002736.SZ,2023-05-17
300033.SZ,2023-05-17
300059.SZ,2023-05-17
300122.SZ,2023-05-17
600000.SH,2023-05-17
600011.SH,2023-05-17
600015.SH,2023-05-17
600016.SH,2023-05-17
600018.SH,2023-05-17
600019.SH,2023-05-17
600028.SH,2023-05-17
600029.SH,2023-05-17
600031.SH,2023-05-17
600036.SH,2023-05-17
600048.SH,2023-05-17
600050.SH,2023-05-17
600061.SH,2023-05-17
600085.SH,2023-05-17
600104.SH,2023-05-17
600111.SH,2023-05-17
600115.SH,2023-05-17
600196.SH,2023-05-17
600276.SH,2023-05-17
600362.SH,2023-05-17
600406.SH,2023-05-17
600436.SH,2023-05-17
600519.SH,2023-05-17
600570.SH,2023-05-17
600585.SH,2023-05-17
600588.SH,2023-05-17
600660.SH,2023-05-17
600741.SH,2023-05-17
600795.SH,2023-05-17
600837.SH,2023-05-17
600886.SH,2023-05-17
600887.SH,2023-05-17
600926.SH,2023-05-17
601006.SH,2023-05-17
601009.SH,2023-05-17
601021.SH,2023-05-17
601088.SH,2023-05-17
601155.SH,2023-05-17
601166.SH,2023-05-17
601169.SH,2023-05-17
601186.SH,2023-05-17
601211.SH,2023-05-17
601225.SH,2023-05-17
601229.SH,2023-05-17
601288.SH,2023-05-17
601318.SH,2023-05-17
601328.SH,2023-05-17
601336.SH,2023-05-17
601398.SH,2023-05-17
601601.SH,2023-05-17
601618.SH,2023-05-17
601628.SH,2023-05-17
601633.SH,2023-05-17
601668.SH,2023-05-17
601669.SH,2023-05-17
601688.SH,2023-05-17
601766.SH,2023-05-17
601788.SH,2023-05-17
601800.SH,2023-05-17
601818.SH,2023-05-17
601857.SH,2023-05-17
601877.SH,2023-05-17
601878.SH,2023-05-17
601881.SH,2023-05-17
601888.SH,2023-05-17
601901.SH,2023-05-17
601919.SH,2023-05-17
601939.SH,2023-05-17
601985.SH,2023-05-17
601988.SH,2023-05-17
601989.SH,2023-05-17
601998.SH,2023-05-17
603833.SH,2023-05-17
603993.SH,2023-05-17
