kdcode,dt
000001.SZ,2024-04-09
000002.SZ,2024-04-09
000069.SZ,2024-04-09
000157.SZ,2024-04-09
000166.SZ,2024-04-09
000338.SZ,2024-04-09
000568.SZ,2024-04-09
000625.SZ,2024-04-09
000725.SZ,2024-04-09
000768.SZ,2024-04-09
000776.SZ,2024-04-09
000858.SZ,2024-04-09
000876.SZ,2024-04-09
000963.SZ,2024-04-09
002007.SZ,2024-04-09
002027.SZ,2024-04-09
002230.SZ,2024-04-09
002241.SZ,2024-04-09
002304.SZ,2024-04-09
002460.SZ,2024-04-09
002475.SZ,2024-04-09
002555.SZ,2024-04-09
002594.SZ,2024-04-09
002714.SZ,2024-04-09
002736.SZ,2024-04-09
300033.SZ,2024-04-09
300059.SZ,2024-04-09
300122.SZ,2024-04-09
600000.SH,2024-04-09
600011.SH,2024-04-09
600015.SH,2024-04-09
600016.SH,2024-04-09
600018.SH,2024-04-09
600019.SH,2024-04-09
600028.SH,2024-04-09
600029.SH,2024-04-09
600031.SH,2024-04-09
600036.SH,2024-04-09
600048.SH,2024-04-09
600050.SH,2024-04-09
600061.SH,2024-04-09
600085.SH,2024-04-09
600104.SH,2024-04-09
600111.SH,2024-04-09
600115.SH,2024-04-09
600196.SH,2024-04-09
600276.SH,2024-04-09
600362.SH,2024-04-09
600406.SH,2024-04-09
600436.SH,2024-04-09
600519.SH,2024-04-09
600570.SH,2024-04-09
600585.SH,2024-04-09
600588.SH,2024-04-09
600660.SH,2024-04-09
600741.SH,2024-04-09
600795.SH,2024-04-09
600837.SH,2024-04-09
600886.SH,2024-04-09
600887.SH,2024-04-09
600926.SH,2024-04-09
601006.SH,2024-04-09
601009.SH,2024-04-09
601021.SH,2024-04-09
601088.SH,2024-04-09
601155.SH,2024-04-09
601166.SH,2024-04-09
601169.SH,2024-04-09
601186.SH,2024-04-09
601211.SH,2024-04-09
601225.SH,2024-04-09
601229.SH,2024-04-09
601288.SH,2024-04-09
601318.SH,2024-04-09
601328.SH,2024-04-09
601336.SH,2024-04-09
601398.SH,2024-04-09
601601.SH,2024-04-09
601618.SH,2024-04-09
601628.SH,2024-04-09
601633.SH,2024-04-09
601668.SH,2024-04-09
601669.SH,2024-04-09
601688.SH,2024-04-09
601766.SH,2024-04-09
601788.SH,2024-04-09
601800.SH,2024-04-09
601818.SH,2024-04-09
601857.SH,2024-04-09
601877.SH,2024-04-09
601878.SH,2024-04-09
601881.SH,2024-04-09
601888.SH,2024-04-09
601901.SH,2024-04-09
601919.SH,2024-04-09
601939.SH,2024-04-09
601985.SH,2024-04-09
601988.SH,2024-04-09
601989.SH,2024-04-09
601998.SH,2024-04-09
603833.SH,2024-04-09
603993.SH,2024-04-09
