kdcode,dt
000001.SZ,2022-09-13
000002.SZ,2022-09-13
000069.SZ,2022-09-13
000157.SZ,2022-09-13
000166.SZ,2022-09-13
000338.SZ,2022-09-13
000568.SZ,2022-09-13
000625.SZ,2022-09-13
000725.SZ,2022-09-13
000768.SZ,2022-09-13
000776.SZ,2022-09-13
000858.SZ,2022-09-13
000876.SZ,2022-09-13
000963.SZ,2022-09-13
002007.SZ,2022-09-13
002027.SZ,2022-09-13
002230.SZ,2022-09-13
002241.SZ,2022-09-13
002304.SZ,2022-09-13
002460.SZ,2022-09-13
002475.SZ,2022-09-13
002555.SZ,2022-09-13
002594.SZ,2022-09-13
002714.SZ,2022-09-13
002736.SZ,2022-09-13
300033.SZ,2022-09-13
300059.SZ,2022-09-13
300122.SZ,2022-09-13
600000.SH,2022-09-13
600011.SH,2022-09-13
600015.SH,2022-09-13
600016.SH,2022-09-13
600018.SH,2022-09-13
600019.SH,2022-09-13
600028.SH,2022-09-13
600029.SH,2022-09-13
600031.SH,2022-09-13
600036.SH,2022-09-13
600048.SH,2022-09-13
600050.SH,2022-09-13
600061.SH,2022-09-13
600085.SH,2022-09-13
600104.SH,2022-09-13
600111.SH,2022-09-13
600115.SH,2022-09-13
600196.SH,2022-09-13
600276.SH,2022-09-13
600362.SH,2022-09-13
600406.SH,2022-09-13
600436.SH,2022-09-13
600519.SH,2022-09-13
600570.SH,2022-09-13
600585.SH,2022-09-13
600588.SH,2022-09-13
600660.SH,2022-09-13
600741.SH,2022-09-13
600795.SH,2022-09-13
600837.SH,2022-09-13
600886.SH,2022-09-13
600887.SH,2022-09-13
600926.SH,2022-09-13
601006.SH,2022-09-13
601009.SH,2022-09-13
601021.SH,2022-09-13
601088.SH,2022-09-13
601155.SH,2022-09-13
601166.SH,2022-09-13
601169.SH,2022-09-13
601186.SH,2022-09-13
601211.SH,2022-09-13
601225.SH,2022-09-13
601229.SH,2022-09-13
601288.SH,2022-09-13
601318.SH,2022-09-13
601328.SH,2022-09-13
601336.SH,2022-09-13
601398.SH,2022-09-13
601601.SH,2022-09-13
601618.SH,2022-09-13
601628.SH,2022-09-13
601633.SH,2022-09-13
601668.SH,2022-09-13
601669.SH,2022-09-13
601688.SH,2022-09-13
601766.SH,2022-09-13
601788.SH,2022-09-13
601800.SH,2022-09-13
601818.SH,2022-09-13
601857.SH,2022-09-13
601877.SH,2022-09-13
601878.SH,2022-09-13
601881.SH,2022-09-13
601888.SH,2022-09-13
601901.SH,2022-09-13
601919.SH,2022-09-13
601939.SH,2022-09-13
601985.SH,2022-09-13
601988.SH,2022-09-13
601989.SH,2022-09-13
601998.SH,2022-09-13
603833.SH,2022-09-13
603993.SH,2022-09-13
