kdcode,dt
000001.SZ,2018-05-31
000002.SZ,2018-05-31
000069.SZ,2018-05-31
000157.SZ,2018-05-31
000166.SZ,2018-05-31
000338.SZ,2018-05-31
000568.SZ,2018-05-31
000625.SZ,2018-05-31
000725.SZ,2018-05-31
000768.SZ,2018-05-31
000776.SZ,2018-05-31
000858.SZ,2018-05-31
000876.SZ,2018-05-31
000963.SZ,2018-05-31
002007.SZ,2018-05-31
002027.SZ,2018-05-31
002230.SZ,2018-05-31
002241.SZ,2018-05-31
002304.SZ,2018-05-31
002460.SZ,2018-05-31
002475.SZ,2018-05-31
002555.SZ,2018-05-31
002594.SZ,2018-05-31
002714.SZ,2018-05-31
002736.SZ,2018-05-31
300033.SZ,2018-05-31
300059.SZ,2018-05-31
300122.SZ,2018-05-31
600000.SH,2018-05-31
600011.SH,2018-05-31
600015.SH,2018-05-31
600016.SH,2018-05-31
600018.SH,2018-05-31
600019.SH,2018-05-31
600028.SH,2018-05-31
600029.SH,2018-05-31
600031.SH,2018-05-31
600036.SH,2018-05-31
600048.SH,2018-05-31
600050.SH,2018-05-31
600061.SH,2018-05-31
600085.SH,2018-05-31
600104.SH,2018-05-31
600111.SH,2018-05-31
600115.SH,2018-05-31
600196.SH,2018-05-31
600276.SH,2018-05-31
600362.SH,2018-05-31
600406.SH,2018-05-31
600436.SH,2018-05-31
600519.SH,2018-05-31
600570.SH,2018-05-31
600585.SH,2018-05-31
600588.SH,2018-05-31
600660.SH,2018-05-31
600741.SH,2018-05-31
600795.SH,2018-05-31
600837.SH,2018-05-31
600886.SH,2018-05-31
600887.SH,2018-05-31
600926.SH,2018-05-31
601006.SH,2018-05-31
601009.SH,2018-05-31
601021.SH,2018-05-31
601088.SH,2018-05-31
601155.SH,2018-05-31
601166.SH,2018-05-31
601169.SH,2018-05-31
601186.SH,2018-05-31
601211.SH,2018-05-31
601225.SH,2018-05-31
601229.SH,2018-05-31
601288.SH,2018-05-31
601318.SH,2018-05-31
601328.SH,2018-05-31
601336.SH,2018-05-31
601398.SH,2018-05-31
601601.SH,2018-05-31
601618.SH,2018-05-31
601628.SH,2018-05-31
601633.SH,2018-05-31
601668.SH,2018-05-31
601669.SH,2018-05-31
601688.SH,2018-05-31
601766.SH,2018-05-31
601788.SH,2018-05-31
601800.SH,2018-05-31
601818.SH,2018-05-31
601857.SH,2018-05-31
601877.SH,2018-05-31
601878.SH,2018-05-31
601881.SH,2018-05-31
601888.SH,2018-05-31
601901.SH,2018-05-31
601919.SH,2018-05-31
601939.SH,2018-05-31
601985.SH,2018-05-31
601988.SH,2018-05-31
601989.SH,2018-05-31
601998.SH,2018-05-31
603833.SH,2018-05-31
603993.SH,2018-05-31
