kdcode,dt
000001.SZ,2018-02-05
000002.SZ,2018-02-05
000069.SZ,2018-02-05
000157.SZ,2018-02-05
000166.SZ,2018-02-05
000338.SZ,2018-02-05
000568.SZ,2018-02-05
000625.SZ,2018-02-05
000725.SZ,2018-02-05
000768.SZ,2018-02-05
000776.SZ,2018-02-05
000858.SZ,2018-02-05
000876.SZ,2018-02-05
000963.SZ,2018-02-05
002007.SZ,2018-02-05
002027.SZ,2018-02-05
002230.SZ,2018-02-05
002241.SZ,2018-02-05
002304.SZ,2018-02-05
002460.SZ,2018-02-05
002475.SZ,2018-02-05
002555.SZ,2018-02-05
002594.SZ,2018-02-05
002714.SZ,2018-02-05
002736.SZ,2018-02-05
300033.SZ,2018-02-05
300059.SZ,2018-02-05
300122.SZ,2018-02-05
600000.SH,2018-02-05
600011.SH,2018-02-05
600015.SH,2018-02-05
600016.SH,2018-02-05
600018.SH,2018-02-05
600019.SH,2018-02-05
600028.SH,2018-02-05
600029.SH,2018-02-05
600031.SH,2018-02-05
600036.SH,2018-02-05
600048.SH,2018-02-05
600050.SH,2018-02-05
600061.SH,2018-02-05
600085.SH,2018-02-05
600104.SH,2018-02-05
600111.SH,2018-02-05
600115.SH,2018-02-05
600196.SH,2018-02-05
600276.SH,2018-02-05
600362.SH,2018-02-05
600406.SH,2018-02-05
600436.SH,2018-02-05
600519.SH,2018-02-05
600570.SH,2018-02-05
600585.SH,2018-02-05
600588.SH,2018-02-05
600660.SH,2018-02-05
600741.SH,2018-02-05
600795.SH,2018-02-05
600837.SH,2018-02-05
600886.SH,2018-02-05
600887.SH,2018-02-05
600926.SH,2018-02-05
601006.SH,2018-02-05
601009.SH,2018-02-05
601021.SH,2018-02-05
601088.SH,2018-02-05
601155.SH,2018-02-05
601166.SH,2018-02-05
601169.SH,2018-02-05
601186.SH,2018-02-05
601211.SH,2018-02-05
601225.SH,2018-02-05
601229.SH,2018-02-05
601288.SH,2018-02-05
601318.SH,2018-02-05
601328.SH,2018-02-05
601336.SH,2018-02-05
601398.SH,2018-02-05
601601.SH,2018-02-05
601618.SH,2018-02-05
601628.SH,2018-02-05
601633.SH,2018-02-05
601668.SH,2018-02-05
601669.SH,2018-02-05
601688.SH,2018-02-05
601766.SH,2018-02-05
601788.SH,2018-02-05
601800.SH,2018-02-05
601818.SH,2018-02-05
601857.SH,2018-02-05
601877.SH,2018-02-05
601878.SH,2018-02-05
601881.SH,2018-02-05
601888.SH,2018-02-05
601901.SH,2018-02-05
601919.SH,2018-02-05
601939.SH,2018-02-05
601985.SH,2018-02-05
601988.SH,2018-02-05
601989.SH,2018-02-05
601998.SH,2018-02-05
603833.SH,2018-02-05
603993.SH,2018-02-05
