kdcode,dt
000001.SZ,2021-09-30
000002.SZ,2021-09-30
000069.SZ,2021-09-30
000157.SZ,2021-09-30
000166.SZ,2021-09-30
000338.SZ,2021-09-30
000568.SZ,2021-09-30
000625.SZ,2021-09-30
000725.SZ,2021-09-30
000768.SZ,2021-09-30
000776.SZ,2021-09-30
000858.SZ,2021-09-30
000876.SZ,2021-09-30
000963.SZ,2021-09-30
002007.SZ,2021-09-30
002027.SZ,2021-09-30
002230.SZ,2021-09-30
002241.SZ,2021-09-30
002304.SZ,2021-09-30
002460.SZ,2021-09-30
002475.SZ,2021-09-30
002555.SZ,2021-09-30
002594.SZ,2021-09-30
002714.SZ,2021-09-30
002736.SZ,2021-09-30
300033.SZ,2021-09-30
300059.SZ,2021-09-30
300122.SZ,2021-09-30
600000.SH,2021-09-30
600011.SH,2021-09-30
600015.SH,2021-09-30
600016.SH,2021-09-30
600018.SH,2021-09-30
600019.SH,2021-09-30
600028.SH,2021-09-30
600029.SH,2021-09-30
600031.SH,2021-09-30
600036.SH,2021-09-30
600048.SH,2021-09-30
600050.SH,2021-09-30
600061.SH,2021-09-30
600085.SH,2021-09-30
600104.SH,2021-09-30
600111.SH,2021-09-30
600115.SH,2021-09-30
600196.SH,2021-09-30
600276.SH,2021-09-30
600362.SH,2021-09-30
600406.SH,2021-09-30
600436.SH,2021-09-30
600519.SH,2021-09-30
600570.SH,2021-09-30
600585.SH,2021-09-30
600588.SH,2021-09-30
600660.SH,2021-09-30
600741.SH,2021-09-30
600795.SH,2021-09-30
600837.SH,2021-09-30
600886.SH,2021-09-30
600887.SH,2021-09-30
600926.SH,2021-09-30
601006.SH,2021-09-30
601009.SH,2021-09-30
601021.SH,2021-09-30
601088.SH,2021-09-30
601155.SH,2021-09-30
601166.SH,2021-09-30
601169.SH,2021-09-30
601186.SH,2021-09-30
601211.SH,2021-09-30
601225.SH,2021-09-30
601229.SH,2021-09-30
601288.SH,2021-09-30
601318.SH,2021-09-30
601328.SH,2021-09-30
601336.SH,2021-09-30
601398.SH,2021-09-30
601601.SH,2021-09-30
601618.SH,2021-09-30
601628.SH,2021-09-30
601633.SH,2021-09-30
601668.SH,2021-09-30
601669.SH,2021-09-30
601688.SH,2021-09-30
601766.SH,2021-09-30
601788.SH,2021-09-30
601800.SH,2021-09-30
601818.SH,2021-09-30
601857.SH,2021-09-30
601877.SH,2021-09-30
601878.SH,2021-09-30
601881.SH,2021-09-30
601888.SH,2021-09-30
601901.SH,2021-09-30
601919.SH,2021-09-30
601939.SH,2021-09-30
601985.SH,2021-09-30
601988.SH,2021-09-30
601989.SH,2021-09-30
601998.SH,2021-09-30
603833.SH,2021-09-30
603993.SH,2021-09-30
