kdcode,dt
000001.SZ,2019-05-14
000002.SZ,2019-05-14
000069.SZ,2019-05-14
000157.SZ,2019-05-14
000166.SZ,2019-05-14
000338.SZ,2019-05-14
000568.SZ,2019-05-14
000625.SZ,2019-05-14
000725.SZ,2019-05-14
000768.SZ,2019-05-14
000776.SZ,2019-05-14
000858.SZ,2019-05-14
000876.SZ,2019-05-14
000963.SZ,2019-05-14
002007.SZ,2019-05-14
002027.SZ,2019-05-14
002230.SZ,2019-05-14
002241.SZ,2019-05-14
002304.SZ,2019-05-14
002460.SZ,2019-05-14
002475.SZ,2019-05-14
002555.SZ,2019-05-14
002594.SZ,2019-05-14
002714.SZ,2019-05-14
002736.SZ,2019-05-14
300033.SZ,2019-05-14
300059.SZ,2019-05-14
300122.SZ,2019-05-14
600000.SH,2019-05-14
600011.SH,2019-05-14
600015.SH,2019-05-14
600016.SH,2019-05-14
600018.SH,2019-05-14
600019.SH,2019-05-14
600028.SH,2019-05-14
600029.SH,2019-05-14
600031.SH,2019-05-14
600036.SH,2019-05-14
600048.SH,2019-05-14
600050.SH,2019-05-14
600061.SH,2019-05-14
600085.SH,2019-05-14
600104.SH,2019-05-14
600111.SH,2019-05-14
600115.SH,2019-05-14
600196.SH,2019-05-14
600276.SH,2019-05-14
600362.SH,2019-05-14
600406.SH,2019-05-14
600436.SH,2019-05-14
600519.SH,2019-05-14
600570.SH,2019-05-14
600585.SH,2019-05-14
600588.SH,2019-05-14
600660.SH,2019-05-14
600741.SH,2019-05-14
600795.SH,2019-05-14
600837.SH,2019-05-14
600886.SH,2019-05-14
600887.SH,2019-05-14
600926.SH,2019-05-14
601006.SH,2019-05-14
601009.SH,2019-05-14
601021.SH,2019-05-14
601088.SH,2019-05-14
601155.SH,2019-05-14
601166.SH,2019-05-14
601169.SH,2019-05-14
601186.SH,2019-05-14
601211.SH,2019-05-14
601225.SH,2019-05-14
601229.SH,2019-05-14
601288.SH,2019-05-14
601318.SH,2019-05-14
601328.SH,2019-05-14
601336.SH,2019-05-14
601398.SH,2019-05-14
601601.SH,2019-05-14
601618.SH,2019-05-14
601628.SH,2019-05-14
601633.SH,2019-05-14
601668.SH,2019-05-14
601669.SH,2019-05-14
601688.SH,2019-05-14
601766.SH,2019-05-14
601788.SH,2019-05-14
601800.SH,2019-05-14
601818.SH,2019-05-14
601857.SH,2019-05-14
601877.SH,2019-05-14
601878.SH,2019-05-14
601881.SH,2019-05-14
601888.SH,2019-05-14
601901.SH,2019-05-14
601919.SH,2019-05-14
601939.SH,2019-05-14
601985.SH,2019-05-14
601988.SH,2019-05-14
601989.SH,2019-05-14
601998.SH,2019-05-14
603833.SH,2019-05-14
603993.SH,2019-05-14
