kdcode,dt
000001.SZ,2022-12-06
000002.SZ,2022-12-06
000069.SZ,2022-12-06
000157.SZ,2022-12-06
000166.SZ,2022-12-06
000338.SZ,2022-12-06
000568.SZ,2022-12-06
000625.SZ,2022-12-06
000725.SZ,2022-12-06
000768.SZ,2022-12-06
000776.SZ,2022-12-06
000858.SZ,2022-12-06
000876.SZ,2022-12-06
000963.SZ,2022-12-06
002007.SZ,2022-12-06
002027.SZ,2022-12-06
002230.SZ,2022-12-06
002241.SZ,2022-12-06
002304.SZ,2022-12-06
002460.SZ,2022-12-06
002475.SZ,2022-12-06
002555.SZ,2022-12-06
002594.SZ,2022-12-06
002714.SZ,2022-12-06
002736.SZ,2022-12-06
300033.SZ,2022-12-06
300059.SZ,2022-12-06
300122.SZ,2022-12-06
600000.SH,2022-12-06
600011.SH,2022-12-06
600015.SH,2022-12-06
600016.SH,2022-12-06
600018.SH,2022-12-06
600019.SH,2022-12-06
600028.SH,2022-12-06
600029.SH,2022-12-06
600031.SH,2022-12-06
600036.SH,2022-12-06
600048.SH,2022-12-06
600050.SH,2022-12-06
600061.SH,2022-12-06
600085.SH,2022-12-06
600104.SH,2022-12-06
600111.SH,2022-12-06
600115.SH,2022-12-06
600196.SH,2022-12-06
600276.SH,2022-12-06
600362.SH,2022-12-06
600406.SH,2022-12-06
600436.SH,2022-12-06
600519.SH,2022-12-06
600570.SH,2022-12-06
600585.SH,2022-12-06
600588.SH,2022-12-06
600660.SH,2022-12-06
600741.SH,2022-12-06
600795.SH,2022-12-06
600837.SH,2022-12-06
600886.SH,2022-12-06
600887.SH,2022-12-06
600926.SH,2022-12-06
601006.SH,2022-12-06
601009.SH,2022-12-06
601021.SH,2022-12-06
601088.SH,2022-12-06
601155.SH,2022-12-06
601166.SH,2022-12-06
601169.SH,2022-12-06
601186.SH,2022-12-06
601211.SH,2022-12-06
601225.SH,2022-12-06
601229.SH,2022-12-06
601288.SH,2022-12-06
601318.SH,2022-12-06
601328.SH,2022-12-06
601336.SH,2022-12-06
601398.SH,2022-12-06
601601.SH,2022-12-06
601618.SH,2022-12-06
601628.SH,2022-12-06
601633.SH,2022-12-06
601668.SH,2022-12-06
601669.SH,2022-12-06
601688.SH,2022-12-06
601766.SH,2022-12-06
601788.SH,2022-12-06
601800.SH,2022-12-06
601818.SH,2022-12-06
601857.SH,2022-12-06
601877.SH,2022-12-06
601878.SH,2022-12-06
601881.SH,2022-12-06
601888.SH,2022-12-06
601901.SH,2022-12-06
601919.SH,2022-12-06
601939.SH,2022-12-06
601985.SH,2022-12-06
601988.SH,2022-12-06
601989.SH,2022-12-06
601998.SH,2022-12-06
603833.SH,2022-12-06
603993.SH,2022-12-06
