kdcode,dt
000001.SZ,2020-08-18
000002.SZ,2020-08-18
000069.SZ,2020-08-18
000157.SZ,2020-08-18
000166.SZ,2020-08-18
000338.SZ,2020-08-18
000568.SZ,2020-08-18
000625.SZ,2020-08-18
000725.SZ,2020-08-18
000768.SZ,2020-08-18
000776.SZ,2020-08-18
000858.SZ,2020-08-18
000876.SZ,2020-08-18
000963.SZ,2020-08-18
002007.SZ,2020-08-18
002027.SZ,2020-08-18
002230.SZ,2020-08-18
002241.SZ,2020-08-18
002304.SZ,2020-08-18
002460.SZ,2020-08-18
002475.SZ,2020-08-18
002555.SZ,2020-08-18
002594.SZ,2020-08-18
002714.SZ,2020-08-18
002736.SZ,2020-08-18
300033.SZ,2020-08-18
300059.SZ,2020-08-18
300122.SZ,2020-08-18
600000.SH,2020-08-18
600011.SH,2020-08-18
600015.SH,2020-08-18
600016.SH,2020-08-18
600018.SH,2020-08-18
600019.SH,2020-08-18
600028.SH,2020-08-18
600029.SH,2020-08-18
600031.SH,2020-08-18
600036.SH,2020-08-18
600048.SH,2020-08-18
600050.SH,2020-08-18
600061.SH,2020-08-18
600085.SH,2020-08-18
600104.SH,2020-08-18
600111.SH,2020-08-18
600115.SH,2020-08-18
600196.SH,2020-08-18
600276.SH,2020-08-18
600362.SH,2020-08-18
600406.SH,2020-08-18
600436.SH,2020-08-18
600519.SH,2020-08-18
600570.SH,2020-08-18
600585.SH,2020-08-18
600588.SH,2020-08-18
600660.SH,2020-08-18
600741.SH,2020-08-18
600795.SH,2020-08-18
600837.SH,2020-08-18
600886.SH,2020-08-18
600887.SH,2020-08-18
600926.SH,2020-08-18
601006.SH,2020-08-18
601009.SH,2020-08-18
601021.SH,2020-08-18
601088.SH,2020-08-18
601155.SH,2020-08-18
601166.SH,2020-08-18
601169.SH,2020-08-18
601186.SH,2020-08-18
601211.SH,2020-08-18
601225.SH,2020-08-18
601229.SH,2020-08-18
601288.SH,2020-08-18
601318.SH,2020-08-18
601328.SH,2020-08-18
601336.SH,2020-08-18
601398.SH,2020-08-18
601601.SH,2020-08-18
601618.SH,2020-08-18
601628.SH,2020-08-18
601633.SH,2020-08-18
601668.SH,2020-08-18
601669.SH,2020-08-18
601688.SH,2020-08-18
601766.SH,2020-08-18
601788.SH,2020-08-18
601800.SH,2020-08-18
601818.SH,2020-08-18
601857.SH,2020-08-18
601877.SH,2020-08-18
601878.SH,2020-08-18
601881.SH,2020-08-18
601888.SH,2020-08-18
601901.SH,2020-08-18
601919.SH,2020-08-18
601939.SH,2020-08-18
601985.SH,2020-08-18
601988.SH,2020-08-18
601989.SH,2020-08-18
601998.SH,2020-08-18
603833.SH,2020-08-18
603993.SH,2020-08-18
