kdcode,dt
000001.SZ,2020-09-10
000002.SZ,2020-09-10
000069.SZ,2020-09-10
000157.SZ,2020-09-10
000166.SZ,2020-09-10
000338.SZ,2020-09-10
000568.SZ,2020-09-10
000625.SZ,2020-09-10
000725.SZ,2020-09-10
000768.SZ,2020-09-10
000776.SZ,2020-09-10
000858.SZ,2020-09-10
000876.SZ,2020-09-10
000963.SZ,2020-09-10
002007.SZ,2020-09-10
002027.SZ,2020-09-10
002230.SZ,2020-09-10
002241.SZ,2020-09-10
002304.SZ,2020-09-10
002460.SZ,2020-09-10
002475.SZ,2020-09-10
002555.SZ,2020-09-10
002594.SZ,2020-09-10
002714.SZ,2020-09-10
002736.SZ,2020-09-10
300033.SZ,2020-09-10
300059.SZ,2020-09-10
300122.SZ,2020-09-10
600000.SH,2020-09-10
600011.SH,2020-09-10
600015.SH,2020-09-10
600016.SH,2020-09-10
600018.SH,2020-09-10
600019.SH,2020-09-10
600028.SH,2020-09-10
600029.SH,2020-09-10
600031.SH,2020-09-10
600036.SH,2020-09-10
600048.SH,2020-09-10
600050.SH,2020-09-10
600061.SH,2020-09-10
600085.SH,2020-09-10
600104.SH,2020-09-10
600111.SH,2020-09-10
600115.SH,2020-09-10
600196.SH,2020-09-10
600276.SH,2020-09-10
600362.SH,2020-09-10
600406.SH,2020-09-10
600436.SH,2020-09-10
600519.SH,2020-09-10
600570.SH,2020-09-10
600585.SH,2020-09-10
600588.SH,2020-09-10
600660.SH,2020-09-10
600741.SH,2020-09-10
600795.SH,2020-09-10
600837.SH,2020-09-10
600886.SH,2020-09-10
600887.SH,2020-09-10
600926.SH,2020-09-10
601006.SH,2020-09-10
601009.SH,2020-09-10
601021.SH,2020-09-10
601088.SH,2020-09-10
601155.SH,2020-09-10
601166.SH,2020-09-10
601169.SH,2020-09-10
601186.SH,2020-09-10
601211.SH,2020-09-10
601225.SH,2020-09-10
601229.SH,2020-09-10
601288.SH,2020-09-10
601318.SH,2020-09-10
601328.SH,2020-09-10
601336.SH,2020-09-10
601398.SH,2020-09-10
601601.SH,2020-09-10
601618.SH,2020-09-10
601628.SH,2020-09-10
601633.SH,2020-09-10
601668.SH,2020-09-10
601669.SH,2020-09-10
601688.SH,2020-09-10
601766.SH,2020-09-10
601788.SH,2020-09-10
601800.SH,2020-09-10
601818.SH,2020-09-10
601857.SH,2020-09-10
601877.SH,2020-09-10
601878.SH,2020-09-10
601881.SH,2020-09-10
601888.SH,2020-09-10
601901.SH,2020-09-10
601919.SH,2020-09-10
601939.SH,2020-09-10
601985.SH,2020-09-10
601988.SH,2020-09-10
601989.SH,2020-09-10
601998.SH,2020-09-10
603833.SH,2020-09-10
603993.SH,2020-09-10
