kdcode,dt
000001.SZ,2021-03-02
000002.SZ,2021-03-02
000069.SZ,2021-03-02
000157.SZ,2021-03-02
000166.SZ,2021-03-02
000338.SZ,2021-03-02
000568.SZ,2021-03-02
000625.SZ,2021-03-02
000725.SZ,2021-03-02
000768.SZ,2021-03-02
000776.SZ,2021-03-02
000858.SZ,2021-03-02
000876.SZ,2021-03-02
000963.SZ,2021-03-02
002007.SZ,2021-03-02
002027.SZ,2021-03-02
002230.SZ,2021-03-02
002241.SZ,2021-03-02
002304.SZ,2021-03-02
002460.SZ,2021-03-02
002475.SZ,2021-03-02
002555.SZ,2021-03-02
002594.SZ,2021-03-02
002714.SZ,2021-03-02
002736.SZ,2021-03-02
300033.SZ,2021-03-02
300059.SZ,2021-03-02
300122.SZ,2021-03-02
600000.SH,2021-03-02
600011.SH,2021-03-02
600015.SH,2021-03-02
600016.SH,2021-03-02
600018.SH,2021-03-02
600019.SH,2021-03-02
600028.SH,2021-03-02
600029.SH,2021-03-02
600031.SH,2021-03-02
600036.SH,2021-03-02
600048.SH,2021-03-02
600050.SH,2021-03-02
600061.SH,2021-03-02
600085.SH,2021-03-02
600104.SH,2021-03-02
600111.SH,2021-03-02
600115.SH,2021-03-02
600196.SH,2021-03-02
600276.SH,2021-03-02
600362.SH,2021-03-02
600406.SH,2021-03-02
600436.SH,2021-03-02
600519.SH,2021-03-02
600570.SH,2021-03-02
600585.SH,2021-03-02
600588.SH,2021-03-02
600660.SH,2021-03-02
600741.SH,2021-03-02
600795.SH,2021-03-02
600837.SH,2021-03-02
600886.SH,2021-03-02
600887.SH,2021-03-02
600926.SH,2021-03-02
601006.SH,2021-03-02
601009.SH,2021-03-02
601021.SH,2021-03-02
601088.SH,2021-03-02
601155.SH,2021-03-02
601166.SH,2021-03-02
601169.SH,2021-03-02
601186.SH,2021-03-02
601211.SH,2021-03-02
601225.SH,2021-03-02
601229.SH,2021-03-02
601288.SH,2021-03-02
601318.SH,2021-03-02
601328.SH,2021-03-02
601336.SH,2021-03-02
601398.SH,2021-03-02
601601.SH,2021-03-02
601618.SH,2021-03-02
601628.SH,2021-03-02
601633.SH,2021-03-02
601668.SH,2021-03-02
601669.SH,2021-03-02
601688.SH,2021-03-02
601766.SH,2021-03-02
601788.SH,2021-03-02
601800.SH,2021-03-02
601818.SH,2021-03-02
601857.SH,2021-03-02
601877.SH,2021-03-02
601878.SH,2021-03-02
601881.SH,2021-03-02
601888.SH,2021-03-02
601901.SH,2021-03-02
601919.SH,2021-03-02
601939.SH,2021-03-02
601985.SH,2021-03-02
601988.SH,2021-03-02
601989.SH,2021-03-02
601998.SH,2021-03-02
603833.SH,2021-03-02
603993.SH,2021-03-02
