kdcode,dt
000001.SZ,2023-06-28
000002.SZ,2023-06-28
000069.SZ,2023-06-28
000157.SZ,2023-06-28
000166.SZ,2023-06-28
000338.SZ,2023-06-28
000568.SZ,2023-06-28
000625.SZ,2023-06-28
000725.SZ,2023-06-28
000768.SZ,2023-06-28
000776.SZ,2023-06-28
000858.SZ,2023-06-28
000876.SZ,2023-06-28
000963.SZ,2023-06-28
002007.SZ,2023-06-28
002027.SZ,2023-06-28
002230.SZ,2023-06-28
002241.SZ,2023-06-28
002304.SZ,2023-06-28
002460.SZ,2023-06-28
002475.SZ,2023-06-28
002555.SZ,2023-06-28
002594.SZ,2023-06-28
002714.SZ,2023-06-28
002736.SZ,2023-06-28
300033.SZ,2023-06-28
300059.SZ,2023-06-28
300122.SZ,2023-06-28
600000.SH,2023-06-28
600011.SH,2023-06-28
600015.SH,2023-06-28
600016.SH,2023-06-28
600018.SH,2023-06-28
600019.SH,2023-06-28
600028.SH,2023-06-28
600029.SH,2023-06-28
600031.SH,2023-06-28
600036.SH,2023-06-28
600048.SH,2023-06-28
600050.SH,2023-06-28
600061.SH,2023-06-28
600085.SH,2023-06-28
600104.SH,2023-06-28
600111.SH,2023-06-28
600115.SH,2023-06-28
600196.SH,2023-06-28
600276.SH,2023-06-28
600362.SH,2023-06-28
600406.SH,2023-06-28
600436.SH,2023-06-28
600519.SH,2023-06-28
600570.SH,2023-06-28
600585.SH,2023-06-28
600588.SH,2023-06-28
600660.SH,2023-06-28
600741.SH,2023-06-28
600795.SH,2023-06-28
600837.SH,2023-06-28
600886.SH,2023-06-28
600887.SH,2023-06-28
600926.SH,2023-06-28
601006.SH,2023-06-28
601009.SH,2023-06-28
601021.SH,2023-06-28
601088.SH,2023-06-28
601155.SH,2023-06-28
601166.SH,2023-06-28
601169.SH,2023-06-28
601186.SH,2023-06-28
601211.SH,2023-06-28
601225.SH,2023-06-28
601229.SH,2023-06-28
601288.SH,2023-06-28
601318.SH,2023-06-28
601328.SH,2023-06-28
601336.SH,2023-06-28
601398.SH,2023-06-28
601601.SH,2023-06-28
601618.SH,2023-06-28
601628.SH,2023-06-28
601633.SH,2023-06-28
601668.SH,2023-06-28
601669.SH,2023-06-28
601688.SH,2023-06-28
601766.SH,2023-06-28
601788.SH,2023-06-28
601800.SH,2023-06-28
601818.SH,2023-06-28
601857.SH,2023-06-28
601877.SH,2023-06-28
601878.SH,2023-06-28
601881.SH,2023-06-28
601888.SH,2023-06-28
601901.SH,2023-06-28
601919.SH,2023-06-28
601939.SH,2023-06-28
601985.SH,2023-06-28
601988.SH,2023-06-28
601989.SH,2023-06-28
601998.SH,2023-06-28
603833.SH,2023-06-28
603993.SH,2023-06-28
