kdcode,dt
000001.SZ,2019-07-01
000002.SZ,2019-07-01
000069.SZ,2019-07-01
000157.SZ,2019-07-01
000166.SZ,2019-07-01
000338.SZ,2019-07-01
000568.SZ,2019-07-01
000625.SZ,2019-07-01
000725.SZ,2019-07-01
000768.SZ,2019-07-01
000776.SZ,2019-07-01
000858.SZ,2019-07-01
000876.SZ,2019-07-01
000963.SZ,2019-07-01
002007.SZ,2019-07-01
002027.SZ,2019-07-01
002230.SZ,2019-07-01
002241.SZ,2019-07-01
002304.SZ,2019-07-01
002460.SZ,2019-07-01
002475.SZ,2019-07-01
002555.SZ,2019-07-01
002594.SZ,2019-07-01
002714.SZ,2019-07-01
002736.SZ,2019-07-01
300033.SZ,2019-07-01
300059.SZ,2019-07-01
300122.SZ,2019-07-01
600000.SH,2019-07-01
600011.SH,2019-07-01
600015.SH,2019-07-01
600016.SH,2019-07-01
600018.SH,2019-07-01
600019.SH,2019-07-01
600028.SH,2019-07-01
600029.SH,2019-07-01
600031.SH,2019-07-01
600036.SH,2019-07-01
600048.SH,2019-07-01
600050.SH,2019-07-01
600061.SH,2019-07-01
600085.SH,2019-07-01
600104.SH,2019-07-01
600111.SH,2019-07-01
600115.SH,2019-07-01
600196.SH,2019-07-01
600276.SH,2019-07-01
600362.SH,2019-07-01
600406.SH,2019-07-01
600436.SH,2019-07-01
600519.SH,2019-07-01
600570.SH,2019-07-01
600585.SH,2019-07-01
600588.SH,2019-07-01
600660.SH,2019-07-01
600741.SH,2019-07-01
600795.SH,2019-07-01
600837.SH,2019-07-01
600886.SH,2019-07-01
600887.SH,2019-07-01
600926.SH,2019-07-01
601006.SH,2019-07-01
601009.SH,2019-07-01
601021.SH,2019-07-01
601088.SH,2019-07-01
601155.SH,2019-07-01
601166.SH,2019-07-01
601169.SH,2019-07-01
601186.SH,2019-07-01
601211.SH,2019-07-01
601225.SH,2019-07-01
601229.SH,2019-07-01
601288.SH,2019-07-01
601318.SH,2019-07-01
601328.SH,2019-07-01
601336.SH,2019-07-01
601398.SH,2019-07-01
601601.SH,2019-07-01
601618.SH,2019-07-01
601628.SH,2019-07-01
601633.SH,2019-07-01
601668.SH,2019-07-01
601669.SH,2019-07-01
601688.SH,2019-07-01
601766.SH,2019-07-01
601788.SH,2019-07-01
601800.SH,2019-07-01
601818.SH,2019-07-01
601857.SH,2019-07-01
601877.SH,2019-07-01
601878.SH,2019-07-01
601881.SH,2019-07-01
601888.SH,2019-07-01
601901.SH,2019-07-01
601919.SH,2019-07-01
601939.SH,2019-07-01
601985.SH,2019-07-01
601988.SH,2019-07-01
601989.SH,2019-07-01
601998.SH,2019-07-01
603833.SH,2019-07-01
603993.SH,2019-07-01
