EqualWeight(1/N),BuyAndHold,Random-topk,Momentum-topk
1.0,1.0,1.0,1.0
0.9858113741502166,0.9858113704692752,0.985689858905971,0.9858113741502166
0.9823152541366321,0.9823062642069543,0.9852333297865257,0.9772223994949357
0.9825476632331049,0.9825201224377799,0.9839050420899832,0.9848662134933619
1.0002185077909125,1.0002140120145264,1.0018942565127416,1.0282250331093739
0.9995485626208931,0.999561560131667,1.0060528542843066,1.0294218534280397
1.0023076241453748,1.0024357074739139,1.018380365112422,1.0395451504512192
1.0030279246439362,1.003345923781412,1.0258092615098426,1.0450763680994208
1.0017997378408954,1.0022165751596,1.0200938969703324,1.0525040201323796
0.9992692015904923,0.9999598067105647,1.010997341428903,1.044093286925682
0.992418337530188,0.9932483486377173,1.0033241780341733,1.0401161652894912
1.0045458605206852,1.0056305385036255,1.010677620521185,1.056382828355356
1.020450905952485,1.0220398125358434,1.02157328733595,1.0992531700810795
1.0245540208438415,1.026048960076886,1.0272627175200817,1.1016975796686297
1.0293984373051603,1.0305889691854273,1.037370810884428,1.1062974737302589
1.029299422517358,1.031073011826832,1.059250761114459,1.1029139325757453
1.0328817111084505,1.0347312513178417,1.0674922165172704,1.1069490880667507
1.0277977829230422,1.0293310847206958,1.0578519899913867,1.1092435684738324
1.0370168857498185,1.0386498607408887,1.0676208770235887,1.11879062757818
1.031107597413786,1.0327302387471489,1.071875059692615,1.113682082832456
1.0163723915575957,1.017742981259278,1.0642266031496515,1.0986464252887345
1.0283454895899007,1.029738007842122,1.0714381162093098,1.1040950777435372
1.0267084060538518,1.0287072027932787,1.0716300943106358,1.0724476991494631
1.0262063534740034,1.0284710379431101,1.0656328902634042,1.079322080818924
1.027911541040215,1.0294048621179002,1.0762354659610645,1.0812564485397707
1.0322566359056882,1.0346171013380963,1.0792242284359,1.070172461937717
1.0345855125735002,1.0370304298173032,1.0888210900067603,1.0780309538931088
1.0413248577728145,1.0442182709744798,1.094448575497757,1.0742821355804915
1.041508118493225,1.043683184417346,1.0945061426570735,1.071218615779271
1.0225141830902318,1.0249038269037722,1.087952699639333,1.0370972351868857
1.034942759307238,1.0378298555329575,1.106824293042433,1.050743892880068
1.0415090654497847,1.0435808987228032,1.1213316698630273,1.0649794863868327
1.034197012324656,1.036426179132666,1.113728126385401,1.0548957325441224
1.0299130399883238,1.0312467831815793,1.1141661259308497,1.0439297890661858
1.026645748476284,1.0270044211724074,1.1170716909716827,1.0325544465197327
1.0462662641306681,1.0484354985018487,1.1336445585673132,1.0318217309293358
1.0436386941448441,1.045343053188191,1.1369463354948133,1.0198347751376322
1.0452224416514428,1.047265828954669,1.141623629094461,1.0314819572768368
1.0476018664352325,1.0494125089711939,1.1449078307082694,1.042016017316837
1.0420287191479485,1.0438006035013798,1.139222504074835,1.032338533442682
1.0525656307517486,1.0546153337001505,1.1445380702843757,1.0315770457789513
1.0652296684845601,1.0688318684445934,1.1665149120359628,1.0629873173530697
1.0595636248352964,1.0647464142050775,1.1710771043011536,1.068520773008159
1.044397841731075,1.0492488043492427,1.158316031592917,1.0562992662468034
1.0543402658565482,1.0596660125623283,1.1856208470996783,1.0640014503968223
1.0665749048048705,1.072740145019484,1.1954159342470558,1.0910595636032505
1.0568346113380669,1.060426002658083,1.1885097353013572,1.0342321640857925
1.0596451740291368,1.0611748873178375,1.1845942120487918,1.0484047760227377
1.0667367875218026,1.069532309076042,1.1902227763899966,1.047712195774584
1.0591990234356912,1.0615361309323603,1.1808610783848448,1.0376501498034723
1.0508318329451107,1.0532359516717014,1.1573466719490928,1.028202013049564
1.0432770466379055,1.0457010441515031,1.1586365362831934,1.0178970876500046
1.0502377634505367,1.0523334527225146,1.1657426293931574,1.0229560557371444
1.052686310328958,1.0547245629553637,1.1660603220563508,1.022069003714089
1.0622449806910654,1.0646609629634913,1.1764184938638842,1.0304173830648733
1.0697472474859708,1.07309579716974,1.1874714491230631,1.041721273063333
1.0638382878163073,1.0680955516297186,1.178474736392781,1.0392557488853176
1.0604066988347527,1.0646730362302357,1.1724057477830478,1.0407476908759328
1.058911046508395,1.062797465788915,1.1638941881225833,1.047050039695246
