strategy,ARR,AVol,SR,MDD,CR,IR
EqualWeight(1/N),0.11870026418423985,0.1472589143341639,0.7618723840169064,-0.09818814146622468,1.2089063140590257,0.0
BuyAndHold,0.12121191586466651,0.15192599062371018,0.7532361190563617,-0.10480845887277779,1.1565089036544285,0.1166115996706105
Random-topk,0.20335658644851962,0.17144901178117006,1.0801043015144642,-0.10711982101234896,1.8984029708663939,0.7295984298749607
Momentum-topk,-0.011045747933199346,0.26678717095224225,-0.0416322882731306,-0.2734023944446552,-0.0404010650880943,-0.6471116849489512
